('0.000', '7.230')
('7.530', '11.520')
('12.180', '12.990')
('13.470', '15.300')
('15.780', '16.830')
('17.640', '18.480')
('18.630', '22.380')
('22.500', '24.270')
('24.390', '26.340')
('26.910', '29.940')
('30.750', '31.740')
('32.760', '33.630')
('35.190', '36.180')
('37.380', '38.160')
('39.150', '40.590')
('41.220', '42.960')
('44.160', '44.760')
('45.720', '46.650')
('47.190', '48.090')
('48.870', '49.890')
('50.430', '51.060')
('55.500', '56.400')
('56.400', '57.810')
('60.630', '61.740')
('62.430', '63.240')
('64.560', '65.160')
('66.810', '68.850')
('68.910', '69.810')
('70.200', '70.980')
('77.430', '78.030')
('78.180', '80.070')
('81.480', '82.110')
('84.390', '85.650')
('87.030', '87.990')
('90.300', '91.920')
('93.150', '93.900')
('99.030', '99.630')
('100.470', '101.490')
('101.850', '102.780')
('103.710', '104.310')
('106.230', '106.830')
('107.070', '107.730')
('108.060', '108.660')
('111.600', '112.290')
('112.980', '113.640')
('114.660', '116.100')
('116.700', '117.450')
('118.140', '118.740')
('119.430', '120.420')
('123.210', '124.200')
('124.620', '125.730')
('126.540', '127.260')
('128.250', '129.210')
('131.670', '132.390')
('133.350', '133.950')
('137.790', '138.390')
('139.290', '140.010')
('145.140', '145.740')
('146.880', '148.050')
('154.440', '155.040')
('160.080', '162.840')
('163.260', '163.860')
('168.390', '169.170')
('169.170', '169.770')
('173.100', '174.570')
('175.890', '178.260')
('180.090', '180.930')
('181.350', '182.370')
('184.230', '185.220')
('185.700', '186.780')
('189.120', '189.870')
('191.100', '191.760')
('194.190', '194.940')
('195.450', '197.460')
('197.460', '198.060')
('206.610', '207.240')
('207.510', '210.090')
('210.900', '211.560')
('213.390', '215.640')
('215.820', '216.450')
('216.480', '217.560')
('218.370', '218.970')
('227.910', '228.630')
('228.780', '229.830')
('230.070', '231.030')
('231.150', '232.260')
('233.220', '233.820')
('235.080', '235.680')
('236.160', '236.760')
('238.080', '239.040')
('239.040', '240.450')
('240.540', '241.140')
('243.900', '245.040')
('254.370', '255.240')
('256.710', '257.310')
('259.500', '260.100')
('261.030', '261.840')
('262.680', '263.370')
('264.810', '265.410')
('266.130', '266.940')
('267.690', '268.380')
('271.290', '271.890')
('271.950', '272.970')
('280.080', '281.550')
('283.710', '284.460')
('286.320', '286.920')
('287.520', '288.480')
('297.510', '298.110')
('299.190', '299.850')
('300.900', '301.500')
('301.590', '302.310')
('306.540', '307.680')
('310.560', '311.430')
('334.350', '336.000')
('336.780', '337.380')
('347.220', '348.060')
('354.390', '355.140')
('363.180', '364.200')
('367.260', '367.860')
('370.470', '371.190')
('372.840', '373.440')
('374.340', '375.180')
('378.510', '379.110')
('380.250', '381.240')
('382.890', '384.150')
('384.360', '385.920')
('396.840', '397.470')
('401.700', '402.450')
('409.470', '410.610')
('417.180', '417.780')
('420.840', '421.800')
('423.090', '423.990')
('425.490', '426.240')
('430.500', '431.100')
('437.730', '438.390')
('444.000', '444.720')
('445.170', '445.920')
('449.010', '449.610')
('470.670', '471.570')
('475.350', '476.160')
('486.990', '488.070')
('488.400', '489.690')
('495.870', '496.680')
('497.400', '498.900')
('503.970', '505.590')
('505.770', '506.370')
('510.810', '512.370')
('514.440', '515.040')
('517.980', '518.580')
('522.120', '522.780')
('523.530', '524.130')
('525.150', '525.780')
('526.650', '527.730')
('538.470', '539.070')
('541.500', '542.130')
('544.050', '544.680')
('551.070', '552.450')
('556.560', '557.160')
('569.640', '570.660')
('575.490', '576.420')
('582.000', '582.600')
('585.600', '586.350')
('599.040', '599.670')
('622.170', '622.770')
('623.880', '624.480')
('626.670', '627.540')
('628.650', '629.280')
('630.360', '631.110')
('631.410', '632.010')
('636.720', '637.320')
('640.800', '641.520')
('655.050', '656.040')
('660.150', '660.780')
('672.060', '672.660')
('680.130', '681.690')
('681.810', '682.440')
('683.070', '684.660')
('689.730', '690.480')
('690.990', '691.590')
('701.550', '702.390')
('702.480', '703.650')
('708.180', '708.780')
('710.610', '711.210')
('712.500', '713.580')
('713.730', '715.230')
('720.720', '721.620')
('738.930', '739.890')
('740.640', '741.240')
('749.790', '751.080')
('761.070', '762.060')
('767.490', '768.180')
('777.930', '778.530')
('779.880', '780.480')
('791.880', '792.750')
('794.940', '795.540')
('801.300', '802.170')
('815.100', '815.760')
('816.300', '817.470')
('841.200', '841.800')
('849.540', '850.290')
('873.540', '874.200')
('875.370', '875.970')
('879.360', '879.960')
('893.880', '894.480')
('901.050', '902.070')
('902.880', '903.570')
('909.720', '910.320')
('916.290', '916.920')
('921.450', '922.110')
('932.160', '932.820')
('947.460', '948.330')
('948.660', '949.380')
('967.800', '968.400')
('969.570', '970.170')
('982.080', '982.680')
('986.490', '987.270')
('987.810', '988.980')
('992.970', '993.720')
('1005.720', '1006.350')
('1008.060', '1008.960')
('1015.470', '1016.340')
('1019.280', '1020.240')
('1021.050', '1021.650')
('1027.950', '1028.550')
('1041.180', '1041.810')
('1057.410', '1058.280')
('1062.450', '1063.050')
('1063.590', '1064.190')
('1066.530', '1067.190')
('1084.590', '1085.190')

