('7.530', '10.530')
('10.770', '13.140')
('13.320', '18.810')
('18.840', '20.130')
('20.310', '23.250')
('23.520', '27.630')
('27.780', '30.300')
('30.510', '32.850')
('33.030', '36.060')
('36.360', '37.770')
('37.770', '40.920')
('41.040', '42.090')
('42.510', '47.160')
('47.190', '50.130')
('50.370', '52.860')
('53.130', '54.060')
('54.180', '55.380')
('55.500', '59.970')
('60.060', '62.640')
('63.210', '67.950')
('67.980', '69.990')
('69.990', '72.750')
('72.810', '74.100')
('74.160', '77.700')
('77.790', '78.660')
('78.930', '81.240')
('81.360', '83.070')
('83.190', '84.720')
('84.960', '85.560')
('85.560', '87.150')
('87.420', '89.250')
('89.400', '92.490')
('92.580', '93.330')
('93.690', '96.600')
('96.720', '99.300')
('99.300', '100.770')
('101.040', '103.590')
('103.800', '108.090')
('108.540', '111.270')
('111.390', '112.890')
('113.070', '117.480')
('117.750', '119.190')
('119.340', '123.390')
('123.450', '126.480')
('126.870', '129.360')
('129.630', '133.440')
('133.470', '137.700')
('138.060', '142.770')
('142.770', '145.320')
('145.530', '146.550')
('146.550', '147.780')
('147.780', '149.700')
('149.910', '152.190')
('152.250', '153.690')
('153.690', '154.980')
('155.400', '157.020')
('157.290', '160.650')
('160.680', '162.660')
('162.660', '164.400')
('164.730', '169.380')
('170.040', '175.080')
('175.380', '176.910')
('177.030', '178.350')
('178.380', '182.490')
('182.640', '185.280')
('185.580', '186.390')
('186.480', '188.610')
('189.150', '190.170')
('190.950', '192.360')
('192.420', '193.530')
('193.890', '194.760')
('194.760', '196.650')
('196.770', '200.040')
('200.160', '203.070')
('203.160', '204.990')
('205.020', '207.480')
('207.480', '212.010')
('212.220', '214.290')
('214.290', '216.450')
('216.810', '219.630')
('220.230', '220.950')
('221.130', '226.440')
('226.980', '232.890')
('233.160', '235.980')
('237.450', '238.380')
('238.740', '240.660')
('240.810', '244.770')
('245.250', '246.900')
('247.050', '251.370')
('251.700', '252.690')
('252.840', '256.920')
('257.010', '259.260')
('259.440', '260.760')
('260.880', '263.340')
('264.330', '265.350')
('265.740', '267.990')
('269.820', '270.420')
('270.900', '272.520')
('274.080', '276.570')
('276.660', '277.620')
('278.820', '279.540')
('281.370', '283.650')
('284.520', '285.270')
('286.080', '286.770')
('287.280', '288.180')
('288.420', '289.260')
('291.990', '293.580')
('296.880', '297.840')
('297.840', '299.040')
('300.270', '301.020')
('302.880', '303.750')
('304.560', '305.730')
('306.420', '307.260')
('307.320', '308.940')
('309.840', '311.520')
('312.600', '313.380')
('313.380', '314.370')
('315.030', '316.500')
('317.580', '318.900')
('319.320', '320.220')
('320.760', '322.950')
('324.540', '325.500')
('325.860', '326.700')
('327.660', '328.590')
('329.010', '329.880')
('330.120', '330.720')
('330.720', '332.010')
('332.640', '333.390')
('333.570', '334.290')
('334.380', '335.070')
('335.070', '335.670')
('335.910', '336.810')
('336.870', '337.470')
('338.160', '339.930')
('340.170', '341.130')
('343.140', '344.520')
('344.970', '345.960')
('347.190', '349.890')
('350.130', '351.270')
('353.190', '354.300')
('354.390', '355.500')
('356.730', '357.750')
('363.390', '364.170')
('365.730', '367.320')
('368.400', '369.810')
('370.830', '371.580')
('371.970', '372.960')
('374.310', '375.870')
('376.350', '377.010')
('377.910', '379.110')
('379.320', '380.070')
('380.520', '381.210')
('381.810', '382.800')
('384.150', '386.280')
('386.280', '387.180')
('388.080', '389.100')
('392.310', '393.000')
('395.760', '396.570')
('397.380', '398.460')
('399.480', '400.680')
('401.190', '402.840')
('403.500', '404.430')
('404.550', '406.680')
('408.090', '409.800')
('412.650', '414.330')
('417.120', '418.350')
('418.470', '420.540')
('421.290', '422.370')
('423.930', '425.070')
('426.030', '429.030')
('429.150', '430.200')
('430.260', '431.280')
('431.280', '431.880')
('438.060', '439.080')
('439.500', '440.430')
('441.630', '442.410')
('443.010', '443.820')
('444.300', '445.020')
('447.300', '448.020')
('448.860', '450.270')
('458.010', '458.760')
('460.920', '462.540')
('462.810', '463.770')
('464.340', '466.380')
('466.860', '469.200')
('470.910', '471.720')
('472.350', '473.790')
('474.270', '474.990')
('475.440', '476.310')
('476.760', '477.600')
('477.960', '478.680')
('478.710', '479.370')
('479.730', '480.690')
('480.930', '482.040')
('482.100', '483.510')
('483.780', '484.620')
('484.950', '485.700')
('486.120', '487.110')
('488.460', '489.600')
('490.680', '493.410')
('493.470', '494.760')
('494.940', '495.840')
('496.470', '497.280')
('497.820', '498.630')
('499.590', '501.510')
('504.870', '506.370')
('506.370', '507.030')
('507.630', '509.010')
('509.640', '510.480')
('510.810', '511.680')
('512.310', '514.440')
('515.220', '516.180')
('516.960', '519.570')
('520.050', '520.680')
('520.770', '522.960')
('523.830', '525.360')
('525.450', '529.170')
('529.380', '530.820')
('530.820', '532.650')
('532.680', '533.280')
('534.450', '535.830')
('537.780', '538.800')
('539.130', '540.120')
('540.570', '541.230')
('541.260', '542.190')
('542.280', '544.710')
('545.100', '546.000')
('548.190', '548.790')
('549.360', '550.440')
('551.130', '552.750')
