('0.000', '5.250')
('8.700', '16.680')
('17.010', '35.070')
('35.190', '42.750')
('42.750', '48.060')
('48.210', '57.990')
('58.110', '61.290')
('61.380', '67.650')
('67.650', '77.430')
('77.790', '82.170')
('82.200', '85.080')
('85.080', '92.040')
('92.280', '93.450')
('93.450', '107.340')
('107.460', '118.650')
('118.800', '126.690')
('126.690', '140.910')
('141.240', '153.900')
('154.020', '160.110')
('160.110', '163.440')
('163.470', '169.560')
('170.040', '170.880')
('170.880', '183.480')
('183.600', '197.130')
('197.130', '201.690')
('201.690', '202.650')
('202.650', '207.990')
('209.160', '213.690')

