('0.000', '6.030')
('12.210', '12.870')
('13.320', '16.980')
('17.070', '18.780')
('18.900', '19.860')
('20.790', '21.780')
('23.220', '24.780')
('25.500', '26.340')
('26.340', '26.940')
('26.940', '29.820')
('30.330', '30.990')
('31.020', '34.470')
('34.530', '38.430')
('38.430', '39.450')
('39.510', '43.110')
('43.530', '48.000')
('48.210', '50.040')
('50.070', '51.960')
('52.620', '55.260')
('55.350', '55.980')
('56.310', '59.370')
('59.400', '61.290')
('61.470', '63.240')
('63.240', '64.530')
('64.800', '67.320')
('67.410', '70.560')
('70.560', '72.570')
('72.990', '75.300')
('75.330', '76.740')
('76.740', '77.820')
('77.970', '81.450')
('81.540', '84.750')
('85.170', '87.540')
('87.750', '89.310')
('90.030', '92.100')
('92.220', '94.140')
('94.410', '97.590')
('97.620', '99.270')
('99.270', '100.290')
('100.290', '102.000')
('102.420', '104.100')
('104.220', '105.270')
('105.450', '107.100')
('109.710', '114.210')
('114.780', '117.450')
('120.750', '122.040')
('122.040', '125.490')
('126.630', '127.830')
('127.950', '129.360')
('129.540', '130.170')
('130.170', '132.450')
('132.690', '137.040')
('137.340', '139.380')
('142.110', '143.970')
('144.360', '146.130')
('146.490', '149.220')
('149.310', '150.750')
('151.050', '152.430')
('152.520', '156.240')
('156.450', '158.340')
('158.340', '160.500')
('160.530', '162.750')
('163.200', '169.560')
('169.560', '170.160')
('170.490', '171.510')
('171.570', '174.720')
('174.750', '175.800')
('178.230', '183.450')
('184.110', '187.650')
('188.160', '191.430')
('191.460', '193.500')
('193.650', '195.810')
('195.900', '198.510')
('198.510', '200.370')
('200.820', '203.040')
('203.070', '204.360')
('204.450', '207.930')
('208.590', '209.730')
('209.850', '213.000')
('213.060', '214.890')
('214.890', '219.090')
('219.570', '221.460')
('221.850', '224.940')
('225.270', '231.810')
('232.080', '233.460')
('233.700', '237.630')
('237.630', '238.560')
('238.650', '241.350')
('242.010', '243.030')
('243.570', '244.950')
('244.950', '248.520')
('248.580', '252.810')
('253.890', '255.720')
('255.720', '256.320')
('256.740', '257.970')
('257.970', '261.510')
('261.750', '262.980')
('263.040', '264.840')
('265.110', '266.070')
('266.070', '268.140')
('268.350', '271.530')
('271.770', '275.820')
('275.910', '279.450')
('279.480', '281.100')
('281.730', '283.200')
('283.350', '284.610')
('284.790', '285.780')
('286.110', '289.260')
('289.410', '291.900')
('291.990', '294.870')
('294.870', '295.860')
('295.890', '298.800')
('299.040', '301.950')
('301.950', '304.230')
('304.560', '306.090')
('306.150', '308.730')
('309.090', '313.770')
('314.310', '315.090')
('315.390', '317.160')
('317.970', '325.560')
('325.560', '326.160')
('326.490', '327.570')
('327.630', '328.920')
('328.920', '330.480')
('330.750', '332.760')
('332.940', '334.260')
('334.380', '336.450')
('337.080', '338.070')
('338.580', '339.180')
('339.210', '340.710')
('340.710', '341.730')
('341.940', '344.670')
('344.970', '348.540')
('348.690', '350.100')
('350.100', '350.700')
('352.320', '355.440')
('355.530', '356.880')
('356.940', '361.890')
('362.430', '363.360')
('364.230', '366.960')
('367.020', '369.270')
('369.330', '372.180')
('372.420', '375.270')
('375.270', '377.040')
('378.180', '380.880')
('381.150', '382.710')
('383.550', '384.990')
('385.260', '386.970')
('387.210', '387.840')
('387.930', '389.220')
('389.430', '390.510')
('390.510', '393.150')
('393.420', '396.750')
('396.750', '399.180')
('399.810', '403.470')
('403.500', '406.350')
('406.380', '409.080')
('409.140', '411.540')
('411.540', '413.760')
('413.880', '416.160')
('416.160', '417.360')
('417.360', '420.210')
('420.210', '420.930')
('421.170', '422.190')
('422.430', '423.120')
('423.120', '424.020')
('424.080', '425.100')
('425.850', '427.170')
('427.860', '432.150')
('432.660', '433.980')
('434.100', '435.540')
('435.540', '437.100')
('437.280', '438.840')
('438.840', '441.660')
('441.930', '442.590')
('442.620', '444.450')
('444.840', '445.950')
('446.760', '447.660')
('447.750', '449.160')
('449.610', '450.990')
('451.410', '455.310')
('455.640', '457.500')
('457.710', '460.050')
('460.410', '463.170')
('463.380', '464.850')
('465.090', '466.890')
('466.890', '469.230')
('469.230', '472.230')
('472.710', '474.210')
('474.330', '475.320')
('476.010', '477.300')
('477.300', '479.670')
('480.000', '481.170')
('481.290', '484.920')
('485.880', '489.300')
('489.660', '493.950')
('494.040', '494.730')
('494.760', '496.380')
('496.380', '498.570')
('498.930', '499.890')
('499.950', '503.580')
('503.670', '505.260')

