('1.170', '2.100')
('2.100', '5.190')
('5.490', '10.380')
('10.560', '12.720')
('12.780', '15.510')
('15.930', '17.400')
('17.400', '21.660')
('22.680', '24.090')
('24.360', '27.570')
('28.020', '30.630')
('30.870', '35.700')
('36.930', '39.420')
('39.540', '42.450')
('42.660', '45.570')
('46.230', '48.000')
('48.180', '49.260')
('49.260', '53.760')
('55.110', '58.620')
('58.620', '60.810')
('60.810', '63.630')
('64.050', '67.530')
('67.560', '69.540')
('69.540', '70.530')
('70.560', '71.730')
('71.730', '73.290')
('75.000', '80.010')
('80.010', '80.640')
('80.730', '84.960')
('85.230', '86.130')
('86.280', '87.450')
('87.540', '89.490')
('89.490', '91.230')
('91.260', '92.850')
('92.850', '94.440')
('94.770', '100.620')
('100.710', '101.970')
('103.530', '108.750')
('108.750', '109.860')
('109.920', '110.610')
('110.610', '111.240')
('111.240', '112.890')
('113.070', '114.570')
('114.630', '116.070')
('116.220', '117.720')
('118.020', '118.830')
('118.830', '122.490')
('122.490', '124.710')
('124.800', '126.210')
('126.300', '127.980')
('129.270', '132.570')
('132.570', '133.290')
('133.290', '137.100')
('137.100', '139.170')
('139.260', '140.100')
('140.250', '142.200')
('142.230', '144.360')
('144.450', '146.100')
('146.550', '147.900')
('147.960', '148.890')
('148.890', '151.380')
('151.380', '153.000')
('153.030', '155.880')
('157.350', '161.430')
('161.430', '162.210')
('162.210', '163.860')
('164.220', '165.000')
('165.180', '167.070')
('167.670', '170.190')
('170.400', '172.290')
('172.710', '173.910')
('174.060', '174.870')
('174.870', '177.810')
('177.810', '179.400')
('179.460', '182.040')
('185.940', '189.150')
('189.150', '189.810')
('189.990', '192.870')
('192.960', '194.730')
('194.730', '196.500')
('196.530', '198.510')
('198.510', '200.190')
('200.670', '201.600')
('201.600', '203.460')
('203.460', '206.220')
('206.580', '209.970')
('209.970', '213.390')
('215.460', '217.140')
('217.560', '220.530')
('220.830', '221.790')
('221.790', '223.590')
('223.650', '226.170')
('226.410', '228.180')
('229.200', '231.660')
('232.080', '234.090')
('235.770', '237.660')
('237.720', '238.650')
('238.980', '241.860')
('242.250', '246.480')
('246.480', '247.410')
('247.410', '248.580')
('249.780', '250.980')
('251.010', '253.140')
('253.140', '254.250')
('254.250', '254.940')
('255.210', '256.590')
('257.280', '258.180')
('258.240', '261.780')
('264.330', '266.880')
('266.910', '268.710')
('269.250', '269.850')
('269.850', '271.560')
('272.220', '274.260')
('274.260', '275.070')
('275.130', '277.320')
('277.320', '278.520')
('278.850', '279.720')
('279.870', '282.510')
('284.430', '291.120')
('291.270', '294.060')
('294.360', '296.910')
('296.910', '298.560')
('300.240', '302.760')
('303.240', '304.560')
('304.830', '306.060')
('306.060', '308.850')
('308.970', '309.570')
('309.720', '311.310')

