('0.000', '2.760')
('3.870', '5.220')
('6.540', '7.770')
('8.070', '9.960')
('10.050', '13.020')
('13.530', '14.640')
('14.670', '16.770')
('17.040', '19.770')
('19.770', '21.720')
('21.870', '23.940')
('24.060', '25.800')
('26.130', '26.970')
('27.270', '28.890')
('28.950', '33.510')
('33.510', '34.980')
('34.980', '36.270')
('36.600', '38.370')
('38.490', '40.110')
('40.470', '42.000')
('42.000', '47.040')
('47.490', '49.890')
('50.400', '51.660')
('53.130', '55.140')
('55.470', '57.330')
('57.600', '59.010')
('60.150', '61.980')
('62.400', '64.470')
('65.190', '66.210')
('66.240', '67.260')
('68.340', '70.110')
('70.110', '72.540')
('74.070', '75.420')
('75.690', '76.830')
('77.010', '78.090')
('78.450', '80.400')
('80.880', '83.490')
('83.790', '88.320')
('88.680', '92.070')
('92.190', '93.810')
('95.340', '97.380')
('97.380', '98.130')
('98.130', '99.750')
('100.080', '102.390')
('102.570', '103.740')
('104.490', '105.750')
('105.750', '107.460')
('108.180', '110.400')
('110.610', '114.870')
('115.530', '116.160')
('118.140', '120.030')
('120.480', '122.100')
('122.280', '122.910')
('123.090', '124.590')
('124.650', '125.820')
('127.110', '129.360')
('129.450', '130.890')
('131.100', '132.090')
('132.360', '133.230')
('134.070', '136.050')
('136.230', '137.340')
('137.640', '139.080')
('139.410', '140.460')
('145.320', '146.310')
('146.340', '149.010')
('149.970', '150.690')
('151.200', '155.340')
('155.790', '156.810')
('158.790', '160.410')
('160.560', '162.030')
('162.210', '165.570')
('165.870', '167.190')
('167.700', '168.870')
('169.890', '171.000')
('171.180', '172.170')
('172.290', '174.510')
('174.870', '175.950')
('175.950', '177.600')
('177.780', '178.500')
('178.830', '180.060')
('180.240', '181.770')
('181.800', '183.750')
('183.810', '185.670')
('185.820', '188.190')
('189.390', '192.210')
('192.600', '196.500')
('196.770', '197.700')
('198.360', '199.320')
('200.700', '205.110')
('205.530', '206.940')
('207.270', '208.350')
('208.680', '209.580')
('209.580', '210.540')
('211.650', '212.280')
('212.880', '214.710')
('215.490', '216.120')
('216.630', '219.240')
('219.510', '221.850')
('222.030', '222.900')
('222.990', '224.580')
('224.820', '226.020')
('226.290', '227.100')
('227.760', '228.900')
('229.500', '231.720')
('232.770', '234.060')
('234.390', '235.560')
('235.800', '236.940')
('237.600', '238.230')
('239.010', '239.970')
('240.270', '243.030')
('243.360', '244.950')
('245.580', '246.540')
('246.570', '247.830')
('248.430', '249.510')
('249.570', '251.010')
('251.940', '253.620')
('253.620', '254.580')
('255.030', '256.830')
('256.920', '257.520')
('257.730', '260.640')
('260.640', '261.630')
('261.810', '263.520')
('264.030', '265.050')
('265.320', '267.270')
('269.040', '269.820')
('269.970', '271.320')
('271.650', '273.090')
('274.470', '275.520')
('276.960', '279.060')
('279.780', '280.410')
('280.680', '281.760')
('281.850', '284.520')
('285.840', '288.330')
('288.450', '289.920')
('290.580', '293.100')
('293.250', '296.070')
('296.370', '297.630')
('298.650', '300.420')
('300.660', '301.890')
('302.160', '303.360')
('303.360', '304.710')
('306.150', '307.380')
('307.620', '308.670')
('309.960', '312.030')
('312.480', '313.590')
('313.890', '316.800')
('317.160', '318.390')
('318.960', '320.160')
('321.000', '322.170')
('323.490', '325.140')
('325.320', '326.880')
('327.240', '328.800')
('329.040', '330.930')
('331.890', '333.120')
('333.690', '335.190')
('336.420', '337.650')
('337.650', '338.850')
('339.570', '341.070')
('346.830', '348.210')
('348.780', '349.710')
('358.260', '358.980')
('359.250', '360.090')
('360.900', '361.710')
('361.860', '362.850')
('363.660', '364.530')
('364.530', '366.030')
('366.060', '366.690')
('367.890', '370.620')
('371.100', '371.850')
('372.270', '373.200')
('373.500', '374.100')
('374.190', '375.300')
('376.380', '378.390')
('378.600', '380.490')
('382.530', '384.150')
('385.950', '387.510')
('388.080', '389.340')
('390.300', '391.830')
('391.860', '393.420')
('393.420', '394.110')
('395.550', '397.320')
('398.070', '399.960')
('400.830', '402.330')
('403.860', '404.940')
('405.600', '406.770')
('406.770', '407.370')
('407.430', '408.030')
('408.150', '409.890')
('410.610', '411.240')
('411.420', '413.610')
('414.810', '415.470')
('415.830', '417.300')
('420.090', '421.230')
('421.740', '422.340')
('423.240', '424.620')
('424.620', '425.310')
('425.610', '426.900')
('427.170', '428.220')
('429.930', '430.860')
('431.910', '433.650')
('434.010', '435.000')
('435.360', '436.980')
('438.150', '439.260')
('439.740', '440.520')
('440.520', '441.960')
('442.620', '444.210')
('445.110', '446.580')
('447.480', '448.320')
('448.470', '449.340')
('451.620', '452.910')
('453.360', '454.740')
('454.770', '455.370')
('455.670', '456.780')
('457.680', '458.280')
('458.550', '459.300')
('459.300', '460.650')
('463.830', '464.520')
('465.270', '466.290')
('466.800', '467.400')
('467.580', '468.690')
('469.110', '470.430')
('470.640', '471.240')
('472.050', '473.610')
('474.030', '474.990')
('476.370', '477.420')
('477.540', '478.590')
('478.650', '479.970')
('479.970', '480.660')
('480.990', '482.940')
('484.200', '484.800')
('485.040', '487.380')
('487.560', '488.850')
('489.210', '490.350')
('491.040', '492.690')
('492.960', '494.010')
('494.250', '494.850')
('495.150', '496.110')
('496.410', '497.010')
('497.280', '498.330')
('498.810', '500.430')
('501.360', '502.740')
('504.690', '505.800')
('507.750', '509.310')
('510.780', '511.830')
('511.950', '513.300')
('513.690', '516.510')
('517.050', '518.220')
('518.310', '519.600')
('521.430', '522.480')

