('0.000', '3.330')
('8.100', '9.600')
('9.780', '16.620')
('16.860', '24.420')
('25.650', '31.530')
('32.160', '38.730')
('38.730', '40.590')
('41.010', '47.130')
('47.640', '51.870')
('51.930', '57.810')
('58.140', '66.510')
('67.170', '71.400')
('72.030', '74.040')
('75.630', '77.160')
('77.550', '78.690')
('81.900', '86.580')
('86.910', '88.290')
('88.290', '93.240')
('93.360', '95.190')
('97.290', '102.750')
('106.470', '110.100')
('110.790', '114.690')
('114.870', '117.180')
('127.500', '128.640')
('130.170', '133.950')
('134.100', '138.210')
('140.940', '146.490')
('147.330', '151.710')
('158.130', '162.060')
('162.540', '166.470')
('166.620', '168.330')
('168.960', '175.020')
('175.620', '180.210')
('185.130', '190.200')
('191.700', '196.290')
('196.380', '199.800')
('200.070', '202.920')
('204.810', '206.010')
('206.040', '208.170')
('208.230', '211.230')
('213.990', '219.030')
('219.450', '221.370')
('222.120', '227.400')
('228.450', '232.950')
('234.390', '242.730')
('243.360', '246.330')
('246.630', '249.750')
('250.800', '258.000')
('258.720', '261.810')
('263.550', '270.660')
('271.620', '276.420')
('277.110', '280.170')
('281.100', '287.250')
('287.460', '291.540')
('294.900', '301.860')
('302.820', '306.450')
('306.450', '307.920')
('308.310', '309.450')
('309.660', '312.090')
('312.480', '313.170')
('315.570', '320.940')
('320.940', '322.470')
('322.680', '325.830')
('326.490', '329.910')
('329.910', '332.040')
('332.040', '335.940')
('336.180', '339.690')
('340.620', '346.470')
('346.470', '347.190')
('347.190', '348.990')
('349.470', '355.740')
('356.820', '361.440')
('361.650', '363.540')
('364.320', '368.640')
('369.120', '369.930')
('369.990', '372.150')
('372.180', '374.370')
('374.490', '378.090')
('378.630', '380.220')
('380.220', '383.820')
('384.450', '388.800')
('390.450', '393.660')
('395.340', '399.750')
('400.530', '402.090')
('403.170', '404.910')
('404.910', '406.230')
('407.760', '410.820')
('410.910', '414.150')
('415.500', '419.160')
('419.700', '421.080')
('421.830', '425.310')
('426.630', '429.630')
('430.170', '431.790')
('432.150', '434.280')
('435.870', '439.080')
('439.080', '442.080')
('442.890', '447.000')
('447.750', '450.420')
('450.660', '454.020')
('459.780', '461.640')
('461.640', '462.240')
('463.470', '468.030')
('468.030', '469.350')
('476.520', '478.530')
('483.930', '487.140')
('488.370', '489.720')
('490.050', '490.890')
('491.550', '493.410')
('493.410', '494.430')
('496.740', '501.330')
('503.130', '504.720')
('504.720', '506.040')
('507.120', '510.210')
('510.600', '513.690')
('520.920', '522.660')
('522.840', '526.740')
('527.580', '528.750')
('528.990', '530.190')
('530.730', '531.930')
('533.250', '535.950')
('536.190', '538.290')
('539.670', '541.440')
('541.650', '546.000')
('546.270', '550.920')
('551.190', '551.850')
('552.480', '553.530')

