('0.000', '3.330')
('8.340', '9.870')
('9.930', '13.410')
('13.980', '17.340')
('17.490', '19.770')
('23.190', '25.230')
('26.310', '28.800')
('32.610', '33.900')
('34.740', '35.850')
('53.820', '54.570')
('67.050', '69.540')
('70.770', '77.730')
('80.070', '82.530')
('83.130', '85.800')
('87.300', '91.200')
('94.020', '101.670')
('103.080', '110.220')
('110.310', '113.580')
('114.090', '116.100')
('116.370', '118.260')
('118.260', '120.780')
('121.290', '126.390')
('127.530', '128.430')
('128.430', '130.650')
('132.810', '137.760')
('138.600', '141.090')
('142.710', '146.520')
('146.850', '147.690')

