('0.000', '12.870')
('12.990', '18.300')
('18.600', '20.640')
('20.850', '22.350')
('22.350', '29.970')
('30.180', '33.660')
('33.870', '38.010')
('38.160', '44.730')
('44.850', '46.080')
('46.140', '48.690')
('48.690', '49.470')
('49.620', '53.250')
('53.430', '56.280')
('56.370', '57.570')
('57.570', '61.020')
('61.110', '61.950')
('62.160', '63.810')
('64.170', '64.980')
('65.220', '68.340')
('68.430', '74.100')
('74.190', '75.090')
('75.090', '78.690')
('78.690', '81.480')
('81.480', '83.160')
('83.160', '87.180')
('87.390', '88.500')
('88.560', '89.940')
('89.970', '91.080')
('91.080', '92.160')
('92.160', '93.750')
('93.960', '95.370')
('95.640', '98.310')
('98.430', '100.680')
('100.830', '102.540')
('102.690', '103.860')
('103.860', '104.610')
('104.670', '105.690')
('105.930', '108.420')
('108.420', '109.800')
('109.800', '111.570')
('111.630', '112.410')
('112.470', '118.170')
('118.440', '120.660')
('120.900', '122.850')
('122.850', '124.650')
('124.800', '126.240')
('126.360', '127.470')
('127.470', '132.540')
('132.780', '135.300')
('135.390', '139.920')
('140.490', '143.610')
('143.640', '146.790')
('146.850', '147.660')
('147.660', '148.980')
('149.100', '150.780')
('150.810', '151.890')
('151.890', '153.000')
('153.000', '154.980')
('155.010', '156.180')
('156.180', '157.260')
('157.260', '161.310')
('161.640', '164.550')
('164.970', '165.990')
('166.200', '171.120')
('171.240', '174.960')
('175.260', '175.860')
('176.400', '178.110')
('178.140', '180.000')
('180.270', '183.150')
('183.690', '186.450')
('186.720', '187.680')
('187.710', '189.030')
('189.210', '190.350')
('190.650', '191.910')
('192.030', '193.740')
('193.950', '195.150')
('195.690', '198.570')
('198.810', '201.000')
('201.150', '202.290')
('202.290', '203.490')
('203.550', '206.640')
('206.880', '210.120')
('210.150', '211.470')
('211.680', '215.760')
('215.880', '219.030')
('219.450', '220.530')
('220.650', '225.090')
('225.480', '226.710')
('226.920', '228.300')
('228.300', '229.500')
('229.800', '231.600')
('231.870', '233.700')
('233.970', '235.710')
('235.710', '237.180')
('237.330', '241.080')
('241.080', '242.280')
('242.310', '244.200')
('244.320', '247.680')
('247.680', '250.110')
('250.110', '251.130')
('251.160', '252.480')
('252.720', '256.140')
('256.140', '258.240')
('258.330', '260.310')
('261.270', '262.530')
('262.770', '263.880')
('263.940', '265.650')
('265.680', '267.810')
('267.810', '269.460')
('269.490', '271.650')
('271.980', '272.730')
('272.730', '274.710')
('275.580', '278.070')
('278.220', '279.540')
('279.630', '283.260')
('283.380', '285.780')
('286.020', '287.220')
('287.430', '288.090')
('288.150', '289.260')
('289.590', '292.200')
('292.350', '293.040')
('293.070', '294.300')
('294.570', '295.530')
('296.130', '296.940')
('297.150', '298.260')
('298.290', '299.430')
('299.430', '303.720')
('303.900', '305.640')
('306.030', '307.380')
('308.760', '310.260')
('310.710', '312.330')
('312.330', '313.200')
('313.290', '315.150')
('315.180', '316.440')
('316.710', '318.150')
('318.300', '320.010')
('320.070', '321.030')
('321.030', '322.170')
('322.380', '323.970')
('324.060', '325.770')
('325.770', '326.790')
('327.000', '328.800')
('328.980', '329.910')
('329.940', '330.780')
('330.930', '332.040')
('332.190', '335.430')
('335.700', '339.120')
('339.150', '342.780')
('343.020', '344.790')
('345.120', '347.340')
('347.490', '348.090')
('348.360', '350.490')
('350.670', '352.110')
('352.860', '353.850')
('353.940', '354.810')
('355.440', '356.580')
('358.680', '359.970')
('360.510', '361.680')
('361.710', '362.640')
('362.640', '364.230')
('364.440', '366.840')
('367.080', '369.330')
('369.360', '370.620')
('370.740', '371.730')
('374.130', '375.600')
('375.930', '377.130')
('377.400', '378.300')
('378.900', '380.400')
('380.910', '381.510')
('381.510', '383.250')
('383.340', '386.790')
('386.970', '388.350')
('389.370', '390.090')
('390.300', '392.310')
('392.400', '394.200')
('394.890', '396.000')
('396.060', '399.210')
('399.540', '400.800')
('400.980', '402.360')
('402.450', '407.520')
('407.970', '409.920')
('412.710', '413.640')
('413.910', '414.960')
('415.020', '416.220')
('416.490', '417.090')
('417.210', '420.480')
('421.620', '425.730')
('426.900', '427.530')
('427.530', '428.610')
('429.480', '430.350')
('430.500', '431.970')
('432.150', '433.320')
('433.650', '434.640')
('434.670', '435.360')
('435.390', '437.520')
('437.940', '438.930')
('438.930', '440.460')
('440.490', '442.650')
('443.070', '444.990')
('445.020', '447.690')
('448.230', '448.980')
('448.980', '450.120')
('450.270', '452.370')
('452.550', '453.240')
('453.990', '455.370')
('455.520', '456.210')
('456.210', '458.310')
('458.430', '461.940')
('463.050', '463.710')
('465.150', '467.010')
('467.850', '468.600')
('468.930', '470.820')
('470.910', '471.720')
('472.050', '473.310')
('473.520', '476.700')
('477.180', '478.440')
('478.800', '480.090')
('480.120', '480.900')
('480.960', '484.290')
('484.350', '485.970')
('487.080', '488.670')
('489.180', '490.380')
('490.410', '491.490')
('491.700', '493.110')
('493.470', '494.550')
('494.640', '497.490')
('497.640', '499.770')
('499.770', '501.450')
('501.450', '502.890')
('503.190', '505.530')
('505.770', '506.550')
('506.550', '507.660')
('507.930', '508.650')
('508.740', '509.850')
('510.150', '513.000')
('513.330', '514.050')
('514.260', '514.980')
('514.980', '516.090')
('516.210', '516.840')
('517.200', '519.540')
('520.140', '521.460')
('523.320', '525.750')
('526.110', '527.580')
('527.820', '528.870')
('528.930', '529.530')
('529.530', '530.250')
('530.310', '531.030')
('531.030', '532.800')
('532.800', '533.550')
('533.550', '536.640')
('539.040', '539.760')
('540.000', '542.310')
('542.970', '543.720')
('543.960', '544.740')
('545.790', '546.780')
('546.900', '548.160')
('548.160', '549.570')
('549.660', '550.800')
('551.070', '553.470')
('553.830', '554.670')
('554.700', '556.620')
('556.620', '558.240')
('558.810', '560.190')
('560.490', '562.620')
('562.830', '564.780')
('565.080', '568.770')
('569.070', '570.720')
('571.110', '573.030')
('573.060', '573.990')
('574.500', '575.640')
('575.850', '576.600')
('576.630', '578.160')
('578.340', '579.840')
('580.770', '583.500')
('584.130', '584.910')
('585.120', '587.250')
('587.700', '588.720')
('589.380', '591.720')
('591.810', '594.450')
('595.050', '596.010')
('596.190', '596.940')
('597.300', '599.940')
('600.780', '601.770')
('602.940', '603.540')
('603.750', '607.260')
('607.740', '610.170')
('610.230', '611.070')
('611.640', '613.680')
('614.580', '616.560')
('618.360', '619.110')
('620.250', '624.390')
('624.450', '625.170')
('625.470', '626.730')
('627.510', '628.110')
('628.170', '628.890')
('629.010', '630.660')
('631.110', '632.100')
('632.430', '635.100')
('637.470', '638.700')
('638.850', '640.020')
('640.470', '641.340')
('641.340', '642.750')
('643.470', '645.270')
('645.630', '648.510')
('648.810', '649.590')
('649.980', '651.510')
('652.170', '653.370')
('653.880', '656.970')
('657.240', '660.300')
('660.510', '661.410')
('661.410', '662.160')
('663.180', '664.260')
('664.650', '665.430')
('665.460', '666.690')
('667.260', '668.070')
('668.100', '668.910')
('669.180', '670.020')
('670.140', '672.480')
('672.600', '673.350')
('673.350', '674.970')
('674.970', '675.630')
('675.960', '677.100')
('677.100', '677.700')
('677.910', '680.280')
('681.060', '682.800')
('683.400', '684.570')
('684.660', '687.300')
('687.330', '688.320')
('689.070', '689.730')
('689.730', '692.130')
('692.460', '694.800')
('694.800', '695.850')
('696.180', '699.990')
('700.350', '701.730')
('702.510', '705.690')
('706.020', '707.100')
('707.400', '708.420')
('708.480', '709.890')
('710.490', '711.090')
('711.210', '713.790')
('713.940', '714.960')
('714.960', '715.770')
('716.160', '717.240')
('717.240', '718.770')
('720.150', '721.860')
('722.760', '723.510')
('723.510', '724.860')
('724.860', '726.570')
('727.410', '728.880')
('729.090', '729.930')
('730.230', '731.700')
('732.300', '734.370')
('735.330', '737.520')
('738.270', '739.050')
('740.610', '741.480')
('741.480', '742.440')
('743.460', '747.060')
('748.500', '750.330')
('750.930', '751.680')
('751.980', '752.820')
('752.820', '753.870')
('754.110', '755.700')
('755.940', '758.280')
('758.340', '759.960')
('760.890', '762.990')
('763.530', '765.210')
('766.050', '768.240')
('768.960', '769.560')
('769.560', '773.190')
('773.190', '773.790')
('774.300', '775.470')
('775.800', '778.080')
('778.380', '779.610')
('779.760', '781.170')
('781.260', '782.400')
('782.400', '783.600')
('784.230', '785.310')
('785.340', '786.300')
('786.300', '788.460')
('788.640', '789.960')
('790.080', '790.980')
('791.850', '793.590')
('794.250', '794.940')
('795.330', '798.630')
('799.170', '800.610')
('800.610', '801.960')
('801.960', '803.220')
('803.370', '806.460')
('806.790', '809.370')
('810.120', '811.320')
('812.550', '814.440')
('814.950', '816.390')
('817.890', '819.180')
('819.660', '821.250')
('822.090', '822.990')
('822.990', '824.370')
('824.940', '826.950')
('827.250', '829.380')
('830.850', '832.170')
('832.170', '832.950')
('833.160', '837.570')
('837.660', '839.340')
('840.210', '842.190')
('842.220', '842.820')
('843.840', '844.470')
('845.100', '848.220')
('849.750', '850.440')
('850.800', '851.790')
('853.830', '855.060')
('855.390', '856.590')
('856.590', '857.280')
('857.550', '858.390')
('858.930', '862.590')
('862.590', '863.760')
('864.390', '865.200')
('865.200', '866.370')

