('0.000', '2.760')
('3.870', '5.220')
('9.960', '11.790')
('12.090', '12.870')
('12.960', '14.220')
('15.120', '16.920')
('17.400', '19.950')
('20.610', '21.990')
('21.990', '22.770')
('24.000', '25.920')
('26.760', '28.710')
('28.770', '29.850')
('30.630', '31.620')
('33.060', '33.780')
('34.920', '36.450')
('36.510', '39.240')
('39.480', '40.770')
('41.370', '45.690')
('46.170', '48.720')
('48.720', '49.500')
('49.890', '53.550')
('53.580', '54.660')
('55.050', '56.700')
('56.700', '57.930')
('58.230', '62.730')
('63.750', '65.100')
('65.460', '66.270')
('66.900', '70.980')
('72.420', '75.150')
('75.450', '76.230')
('76.230', '79.380')
('80.040', '82.890')
('82.890', '83.520')
('83.550', '87.330')
('87.330', '90.120')
('90.390', '92.160')
('92.190', '93.240')
('93.630', '95.850')
('96.570', '98.190')
('98.490', '102.360')
('102.360', '103.500')
('103.800', '105.810')
('105.870', '106.860')
('106.860', '108.090')
('108.480', '111.030')
('111.240', '115.440')
('115.500', '119.100')
('119.730', '120.630')
('120.840', '121.530')
('121.980', '123.390')
('123.450', '125.880')
('126.480', '129.030')
('129.030', '129.930')
('130.170', '131.040')
('131.550', '133.800')
('134.220', '135.540')
('135.870', '137.850')
('138.480', '140.850')
('141.180', '141.900')
('142.230', '148.320')
('148.890', '150.630')
('150.930', '151.710')
('151.710', '154.260')
('154.260', '155.940')
('156.570', '160.650')
('160.680', '162.480')
('163.050', '164.280')
('165.090', '167.790')
('167.790', '168.540')
('168.540', '169.470')
('170.280', '171.240')
('171.450', '172.800')
('172.800', '174.450')
('174.630', '175.380')
('175.620', '176.610')
('177.690', '179.730')
('180.000', '181.740')
('182.550', '184.890')
('185.760', '187.260')
('188.040', '188.880')
('188.940', '189.810')
('190.680', '191.430')
('191.460', '192.180')
('193.050', '195.690')
('195.690', '197.400')
('197.460', '199.050')
('199.230', '200.520')
('200.880', '202.110')
('203.100', '205.710')
('206.010', '206.730')
('207.120', '210.750')
('211.170', '212.160')
('212.550', '213.660')
('213.750', '215.280')
('215.970', '217.950')
('218.490', '219.540')
('219.600', '222.780')
('223.800', '224.880')
('224.880', '225.510')
('225.780', '228.210')
('228.390', '229.860')
('230.070', '231.330')
('231.840', '233.130')
('233.130', '234.090')
('234.090', '236.520')
('236.550', '240.270')
('241.350', '243.780')
('244.320', '245.700')
('245.700', '247.830')
('248.760', '249.630')
('249.810', '250.980')
('251.700', '253.440')
('253.830', '255.120')
('255.780', '256.620')
('256.710', '259.740')
('260.820', '262.800')
('263.550', '264.150')
('264.450', '265.860')
('266.250', '267.480')
('267.660', '269.040')
('269.760', '274.080')
('274.350', '275.700')
('275.700', '277.770')
('277.800', '278.430')
('279.720', '280.980')
('282.090', '283.860')
('284.070', '286.560')
('287.610', '289.440')
('289.530', '291.540')
('293.070', '294.390')
('294.660', '298.080')
('299.460', '301.050')
('301.260', '302.760')
('304.530', '305.880')
('306.480', '307.200')
('307.350', '309.270')
('309.540', '311.670')
('311.850', '313.620')
('313.620', '316.500')
('316.860', '318.690')
('318.930', '320.310')
('320.850', '322.110')
('323.520', '324.600')
('324.600', '325.620')
('325.830', '326.430')
('326.430', '327.120')
('327.630', '331.050')
('331.080', '333.330')
('334.350', '335.520')
('335.520', '336.990')
('336.990', '338.970')
('339.690', '341.820')
('343.650', '345.330')
('345.960', '346.800')
('346.920', '348.300')
('348.300', '349.230')
('349.230', '351.240')
('351.690', '354.150')
('354.510', '359.610')
('360.060', '361.890')
('362.610', '363.540')
('363.960', '365.010')
('365.010', '366.390')
('366.660', '368.610')
('369.510', '371.460')
('372.030', '373.290')
('374.430', '375.780')
('376.560', '380.220')
('381.150', '382.920')
('383.070', '384.120')
('384.630', '385.740')
('386.460', '387.120')
('387.390', '389.700')
('389.700', '390.420')
('390.630', '393.450')
('394.560', '395.940')
('396.570', '397.320')
('397.440', '400.080')
('401.970', '406.080')
('406.350', '407.310')
('408.030', '410.850')
('411.030', '412.860')
('415.050', '415.800')

