('0.000', '15.810')
('15.810', '18.450')
('18.450', '22.260')
('22.260', '26.520')
('26.520', '27.780')
('27.780', '31.140')
('31.140', '32.340')
('32.610', '37.740')
('38.220', '39.990')
('40.170', '43.110')
('43.110', '44.490')
('44.700', '47.790')
('47.880', '52.530')
('52.530', '54.810')
('54.960', '56.970')
('56.970', '63.720')
('63.930', '65.070')
('65.070', '71.130')
('71.130', '72.150')
('72.150', '78.990')
('78.990', '84.870')
('84.990', '91.230')
('91.230', '95.820')
('95.820', '98.910')
('98.940', '103.350')
('103.500', '105.510')
('105.510', '112.110')
('112.170', '113.820')
('113.910', '115.890')
('115.890', '120.510')
('120.630', '123.660')
('123.780', '127.770')
('127.770', '129.150')
('129.150', '131.790')
('131.790', '134.970')
('134.970', '137.850')
('137.850', '140.760')
('141.000', '154.320')
('154.530', '168.810')
('168.810', '170.430')
('170.910', '183.870')
('184.200', '185.310')
('185.310', '186.630')
('186.660', '190.380')
('190.380', '196.800')
('197.310', '198.930')
('199.200', '201.930')
('201.930', '205.560')
('205.560', '209.340')
('209.490', '212.250')
('212.700', '215.040')
('215.100', '217.290')
('217.560', '219.180')
('219.720', '221.160')
('221.280', '222.480')
('222.480', '225.900')
('225.900', '231.450')
('231.870', '236.280')
('236.280', '237.960')
('238.020', '245.910')
('245.910', '249.390')
('249.390', '250.380')
('250.740', '251.850')
('251.850', '255.450')
('256.470', '258.300')
('258.300', '266.670')
('266.670', '268.200')
('268.200', '271.500')
('271.500', '274.320')
('274.320', '275.100')
('275.100', '283.140')
('283.140', '285.990')
('286.020', '287.400')
('287.520', '293.550')
('293.670', '296.520')
('296.520', '297.330')
('297.330', '301.440')
('301.590', '304.440')
('304.440', '307.440')
('307.470', '308.640')
('308.730', '319.860')
('319.950', '322.260')
('322.260', '324.450')
('324.450', '328.530')
('328.650', '333.900')
('334.080', '338.790')
('338.790', '345.420')
('345.420', '348.720')
('348.720', '352.680')
('352.740', '354.540')
('354.660', '359.160')
('359.370', '360.720')
('360.900', '363.900')
('363.930', '365.940')
('366.000', '366.690')
('366.690', '374.070')
('374.190', '375.540')
('375.780', '380.100')
('380.550', '384.150')
('384.420', '386.550')
('386.730', '393.000')
('393.030', '401.610')
('401.610', '402.840')
('402.870', '410.310')
('410.400', '411.690')
('411.690', '414.510')
('414.600', '416.070')
('416.160', '417.900')
('418.230', '420.330')
('420.330', '421.320')
('421.440', '422.790')
('422.880', '425.070')
('425.070', '430.140')
('430.470', '435.240')
('435.240', '437.730')
('437.730', '440.460')
('440.520', '442.590')
('442.590', '443.700')
('443.910', '445.920')
('445.920', '449.130')
('449.130', '453.390')
('453.390', '455.970')
('455.970', '460.590')
('460.680', '464.880')
('464.880', '469.140')
('469.140', '472.590')
('472.620', '476.700')
('477.270', '481.980')
('481.980', '484.200')
('484.320', '485.520')
('485.520', '487.800')
('487.800', '489.930')
('489.930', '492.570')
('492.570', '497.820')
('497.820', '500.700')
('500.700', '504.210')
('504.360', '505.860')
('506.220', '507.720')
('507.840', '511.560')
('511.560', '514.350')
('514.350', '516.180')
('516.180', '517.770')
('517.920', '521.430')
('521.430', '524.490')
('524.490', '527.430')
('527.640', '529.950')
('530.010', '531.780')
('531.780', '533.700')
('533.700', '540.630')
('540.630', '542.040')
('542.040', '545.880')
('546.210', '551.670')
('553.020', '553.680')
('553.710', '557.490')
('557.640', '558.930')
('560.220', '561.270')
('561.570', '562.500')
('562.500', '564.210')
('565.950', '567.000')

