('0.000', '7.230')
('7.530', '9.000')
('9.540', '10.680')
('12.300', '13.020')
('13.290', '14.610')
('17.490', '19.200')
('19.650', '20.730')
('20.790', '21.720')
('21.720', '22.560')
('22.890', '24.000')
('25.890', '27.030')
('27.960', '28.860')
('29.220', '29.850')
('31.140', '32.310')
('33.300', '33.930')
('35.280', '37.560')
('37.680', '38.280')
('39.690', '41.250')
('41.670', '43.080')
('43.560', '44.550')
('44.700', '45.900')
('46.500', '47.820')
('49.980', '50.970')
('51.210', '52.290')
('54.060', '54.990')
('56.460', '57.180')
('57.600', '59.820')
('61.140', '62.760')
('62.760', '63.360')
('64.170', '65.100')
('66.000', '68.130')
('68.940', '70.350')
('71.370', '73.410')
('75.240', '76.650')
('77.100', '77.760')
('79.260', '80.190')
('80.340', '80.940')
('81.390', '81.990')
('82.530', '84.120')
('84.540', '87.360')
('92.820', '93.450')
('93.540', '94.560')
('96.960', '98.310')
('101.100', '102.420')
('104.460', '105.060')
('105.540', '106.200')
('109.020', '110.160')
('110.520', '112.800')
('113.430', '114.540')
('114.900', '116.400')
('117.480', '118.320')
('118.980', '119.580')
('120.120', '120.900')
('121.380', '122.460')
('122.460', '123.060')
('123.420', '124.020')
('124.530', '125.130')
('125.910', '127.560')
('128.340', '129.390')
('130.650', '131.400')
('131.820', '132.540')
('133.020', '133.800')
('135.450', '136.320')
('139.860', '141.030')
('141.090', '141.930')
('142.770', '143.520')
('143.520', '144.120')
('144.570', '145.440')
('145.440', '146.190')
('146.490', '147.570')
('149.220', '150.030')
('151.650', '152.490')
('154.590', '155.880')
('155.910', '156.510')
('158.700', '159.390')
('162.240', '163.320')
('164.550', '165.210')
('166.260', '167.220')
('168.150', '169.170')
('169.560', '170.160')
('171.150', '171.840')
('172.650', '174.570')
('174.570', '175.170')
('175.260', '176.550')
('177.240', '177.900')
('178.860', '179.460')
('180.630', '181.500')
('183.570', '186.120')
('186.360', '186.960')
('186.960', '188.250')
('189.210', '191.910')
('194.610', '195.390')
('204.450', '205.050')
('206.580', '207.210')
('207.930', '208.740')
('212.040', '212.640')
('213.180', '214.860')
('215.700', '216.540')
('217.110', '219.090')
('220.800', '221.670')
('224.190', '225.120')
('225.600', '226.290')
('227.520', '228.180')
('228.810', '229.830')
('231.480', '232.110')
('234.390', '234.990')
('236.700', '237.360')
('240.810', '241.440')
('242.220', '244.830')
('245.130', '246.990')
('249.780', '251.190')
('251.790', '252.930')
('253.410', '254.850')
('255.060', '256.410')
('257.220', '258.390')
('258.990', '259.920')
('259.950', '261.780')
('263.730', '264.360')
('267.360', '268.710')
('269.100', '270.000')
('272.100', '273.180')
('273.510', '274.470')
('274.470', '275.070')
('276.000', '277.200')
('281.220', '283.500')
('283.680', '284.910')
('287.310', '289.080')
('289.140', '291.120')
('292.860', '293.700')
('293.850', '294.570')
('296.400', '297.330')
('297.600', '298.290')
('299.520', '300.720')
('303.240', '304.110')
('307.830', '308.430')
('309.780', '310.830')
('313.860', '314.850')
('318.000', '318.660')
('318.750', '320.100')
('320.730', '323.850')
('325.230', '326.220')
('331.290', '332.460')
('333.450', '334.260')
('336.120', '336.810')
('339.270', '340.170')
('347.790', '348.900')
('350.580', '351.420')
('355.470', '356.070')
('365.400', '366.150')
('366.450', '367.290')
('367.380', '368.280')
('368.940', '369.660')
('370.890', '371.520')
('371.520', '372.210')
('372.870', '373.650')
('376.200', '377.250')
('379.560', '380.280')
('389.400', '390.000')
('390.930', '391.590')
('392.370', '393.600')
('395.100', '396.180')
('399.150', '399.750')
('405.930', '406.560')
('407.040', '408.360')
('410.460', '411.120')
('416.580', '417.990')
('425.280', '425.880')
('432.090', '432.720')
('433.380', '433.980')
('434.310', '435.090')
('435.570', '437.220')
('437.880', '438.900')
('438.900', '439.560')
('440.220', '441.360')
('442.710', '443.670')
('443.670', '444.390')
('444.780', '445.380')
('445.380', '446.340')
('447.240', '448.170')
('449.910', '451.230')
('451.320', '452.610')
('453.840', '454.440')
('454.770', '455.760')
('461.610', '462.990')
('464.460', '465.060')
('465.240', '466.830')
('472.290', '473.130')
('476.640', '477.990')
('478.680', '479.280')
('482.190', '483.060')
('485.340', '486.840')
('487.290', '488.190')
('491.460', '493.110')
('494.130', '495.480')
('496.500', '497.550')
('497.700', '498.390')
('499.560', '500.280')
('501.180', '502.140')
('502.980', '503.580')
('504.570', '505.170')
('505.770', '506.850')
('507.360', '508.020')
('511.020', '511.860')
('514.920', '515.610')
('516.390', '518.220')
('519.720', '520.740')
('523.650', '524.250')
('525.180', '527.310')
('527.970', '529.170')
('530.370', '532.020')
('532.020', '532.920')
('535.020', '537.360')
('539.310', '541.170')
('543.630', '544.560')
('549.300', '550.170')
('552.900', '553.950')
('555.600', '556.200')
('557.700', '559.710')
('561.000', '562.080')
('564.630', '565.470')
('566.700', '567.450')
('570.840', '571.830')
('573.120', '575.460')
('589.080', '589.680')
('590.370', '591.000')
('592.560', '593.820')
('594.240', '594.840')
('603.300', '604.140')
('604.140', '604.860')
('607.530', '608.160')
('609.450', '610.050')
('614.310', '615.090')
('620.880', '622.200')
('624.000', '624.660')
('626.100', '626.910')
('632.010', '633.030')
('635.280', '636.060')
('639.720', '641.040')
('644.940', '645.570')
('647.280', '647.910')
('663.390', '664.290')
('665.130', '666.270')
('668.790', '669.450')
('675.300', '676.080')
('677.730', '678.510')
('685.860', '686.730')
('688.200', '688.800')
('695.820', '696.750')
('696.750', '697.920')
('700.170', '701.130')
('701.880', '703.620')
('709.140', '709.770')
('713.310', '713.970')
('714.390', '714.990')
('717.750', '718.350')
('721.080', '722.310')
('727.020', '727.890')
('735.750', '736.500')
('737.040', '737.700')
('749.820', '751.560')
('751.620', '752.760')
('754.200', '755.130')
('758.700', '759.810')
('760.290', '760.890')
('763.680', '764.550')
('768.240', '768.930')
('771.000', '771.780')
('772.380', '772.980')
('773.040', '773.790')
('786.930', '787.800')
('789.510', '790.350')
('793.470', '794.190')
('795.840', '798.630')
('801.870', '802.590')
('810.870', '812.190')
('813.540', '814.800')
('817.680', '818.880')
('821.550', '822.450')
('832.530', '833.130')
('834.180', '834.780')
('838.110', '838.740')
('838.980', '840.120')
('843.480', '844.230')
('853.050', '853.740')
('867.030', '867.780')
('877.200', '877.800')
('877.950', '878.970')
('879.540', '880.410')
('900.120', '900.750')
('905.040', '905.760')
('906.690', '907.350')
('909.870', '910.500')
('928.920', '929.520')
('929.580', '930.270')
('933.870', '934.800')
('935.700', '936.420')
('937.560', '938.250')
('952.050', '953.250')
('953.490', '954.600')
('957.900', '958.500')
('967.350', '968.130')
('972.690', '973.680')
('974.220', '974.820')
('975.540', '976.530')
('977.130', '977.730')
('982.770', '983.610')
('984.990', '985.590')
('986.910', '988.080')
('996.810', '997.470')
('998.010', '998.970')
('1006.530', '1007.130')
('1009.080', '1009.770')
('1012.650', '1013.340')
('1020.570', '1021.650')
('1024.500', '1025.160')
('1030.650', '1031.400')
('1036.440', '1037.040')
('1039.080', '1039.680')
('1045.860', '1046.610')
('1052.220', '1053.090')
('1056.960', '1057.560')
('1057.920', '1058.520')
('1058.850', '1059.450')
('1059.450', '1060.050')
('1061.040', '1061.640')
('1067.880', '1068.690')
('1069.980', '1070.730')
('1072.470', '1073.070')
('1074.510', '1075.530')
('1077.330', '1078.320')
