('0.000', '12.060')
('12.180', '15.030')
('15.120', '17.400')
('17.580', '22.770')
('22.860', '26.580')
('26.580', '29.280')
('29.370', '30.510')
('30.540', '34.590')
('34.590', '38.460')
('38.640', '40.650')
('40.830', '44.310')
('44.820', '45.630')
('45.630', '47.010')
('47.250', '51.690')
('51.720', '53.970')
('54.150', '57.630')
('57.630', '61.650')
('62.250', '64.110')
('64.110', '66.270')
('66.660', '67.410')
('67.530', '68.310')
('68.460', '73.020')
('73.140', '77.490')
('77.490', '79.170')
('79.380', '81.030')
('81.060', '84.420')
('85.410', '86.250')
('86.460', '88.440')
('88.470', '91.500')
('91.740', '93.180')
('93.240', '96.330')
('96.870', '99.120')
('99.630', '100.500')
('101.340', '102.540')
('103.110', '106.350')
('106.440', '107.760')
('107.760', '109.830')
('110.040', '112.410')
('112.410', '115.380')
('116.310', '117.390')
('117.450', '118.200')
('118.320', '118.920')
('118.920', '122.490')
('122.940', '123.600')
('123.600', '126.240')
('126.570', '127.170')
('127.620', '128.610')
('128.760', '129.810')
('130.050', '131.580')
('131.760', '134.040')
('134.070', '135.390')
('135.390', '138.480')
('138.630', '140.010')
('140.220', '143.100')
('143.340', '143.970')
('144.450', '146.430')
('146.640', '148.200')
('150.090', '151.080')
('156.060', '157.140')
('157.530', '162.600')
('162.600', '164.790')
('165.240', '165.840')
('165.840', '169.740')
('169.800', '172.890')
('172.890', '174.180')
('176.940', '178.950')
('179.400', '182.220')
('182.460', '183.900')
('183.900', '188.910')
('189.720', '190.860')
('191.220', '192.300')
('192.390', '193.470')
('194.280', '197.190')
('197.760', '201.780')
('201.900', '204.360')
('204.480', '206.160')
('206.370', '208.980')
('209.190', '209.820')
('209.910', '212.490')
('212.490', '214.050')
('214.170', '216.420')
('216.630', '218.400')
('218.400', '222.960')
('223.500', '224.850')
('225.960', '230.010')
('230.010', '231.480')
('231.480', '234.120')
('234.810', '235.950')
('236.160', '237.030')
('238.710', '239.940')
('240.660', '244.260')
('244.290', '245.070')
('245.070', '245.820')
('246.240', '247.140')
('247.290', '247.890')
('247.890', '252.210')
('252.270', '256.590')
('256.590', '259.470')
('259.710', '263.340')
('265.320', '270.990')
('271.260', '272.820')
('273.300', '274.800')
('275.340', '276.090')
('276.300', '277.530')
('277.530', '280.320')
('281.280', '283.890')
('287.790', '291.780')
('291.810', '295.530')
('295.770', '297.540')
('297.720', '299.100')
('300.240', '305.040')
('305.160', '308.250')
('310.050', '310.740')
('310.740', '313.590')
('313.590', '316.740')
('317.490', '320.160')
('320.160', '322.380')
('322.410', '323.040')
('323.040', '323.880')
('323.880', '326.550')
('326.580', '329.790')
('330.840', '332.520')
('332.670', '334.860')
('335.730', '336.870')
('337.920', '338.520')
('338.520', '339.780')
('340.050', '346.980')
('347.370', '350.280')
('350.610', '351.240')
('351.390', '353.460')
('354.630', '355.260')
('355.620', '358.620')
('358.620', '361.950')
('362.190', '363.990')
('364.560', '370.110')
('370.260', '371.340')
('371.490', '374.160')
('374.310', '375.810')
('375.960', '377.730')
('377.850', '381.150')
('381.780', '382.500')
('382.500', '384.780')
('385.410', '387.210')
('387.300', '391.950')
('392.040', '392.670')
('392.970', '396.360')
('396.360', '398.430')
('398.460', '399.720')
('399.840', '402.780')
('402.810', '404.010')
('404.640', '410.220')
('411.000', '412.170')
('412.170', '415.290')
('415.710', '416.790')

