('0.000', '6.030')
('12.210', '19.110')
('19.740', '28.740')
('29.160', '30.480')
('31.140', '32.580')
('33.300', '35.580')
('36.150', '38.370')
('38.370', '39.660')
('40.410', '41.790')
('42.870', '43.740')
('44.160', '48.930')
('50.790', '52.830')
('53.520', '55.500')
('55.770', '58.140')
('58.140', '59.340')
('59.610', '65.550')
('65.730', '67.110')
('67.440', '70.800')
('70.950', '75.210')
('75.600', '81.870')
('82.170', '88.770')
('88.890', '90.660')
('90.810', '92.430')
('92.430', '93.870')
('94.260', '95.250')
('95.490', '99.810')
('100.080', '100.830')
('100.980', '102.600')
('102.690', '106.500')
('106.530', '107.820')
('108.420', '113.010')
('113.040', '117.660')
('117.690', '121.860')
('122.640', '123.960')
('124.050', '125.730')
('125.730', '128.550')
('128.640', '131.340')
('132.090', '135.240')
('135.810', '136.650')
('136.950', '139.890')
('139.890', '142.830')
('142.980', '144.060')
('144.450', '146.310')
('146.460', '148.500')
('148.710', '150.330')
('150.900', '152.100')
('152.640', '154.230')
('154.260', '162.210')
('162.420', '163.500')
('163.770', '165.120')
('165.390', '166.260')
('166.260', '168.090')
('168.480', '169.350')
('170.010', '172.890')
('173.910', '181.140')
('181.530', '185.160')
('185.160', '189.150')
('189.300', '198.600')
('198.810', '202.590')
('202.770', '204.540')
('204.750', '207.960')
('209.220', '214.620')
('215.280', '217.890')
('218.040', '221.490')
('221.760', '223.860')
('224.430', '226.440')
('227.550', '228.390')
('229.020', '237.300')
('240.840', '243.480')
('243.780', '246.840')
('247.080', '250.380')
('251.310', '253.920')
('255.030', '258.330')
('259.260', '262.830')
('262.920', '264.660')
('264.960', '266.100')
('266.190', '268.980')
('269.070', '269.820')
('270.240', '273.450')
('273.720', '275.790')
('276.990', '277.830')
('278.280', '281.310')
('281.370', '283.410')
('284.490', '287.070')
('287.130', '294.030')
('294.060', '295.440')
('295.560', '298.770')
('298.980', '301.020')
('301.260', '305.790')
('306.180', '310.620')
('311.010', '312.900')
('312.990', '316.080')
('318.870', '320.820')
('321.210', '324.030')
('324.150', '325.380')
('325.380', '329.280')
('329.640', '332.460')
('333.450', '335.250')
('335.490', '342.720')
('343.110', '348.540')
('348.780', '349.860')
('350.430', '351.450')
('352.020', '353.760')
('354.900', '358.230')
('358.230', '362.790')
('363.510', '368.580')
('369.570', '372.480')
('372.840', '377.400')
('377.520', '379.440')
('379.710', '381.330')
('381.660', '384.720')
('385.260', '386.970')
('387.750', '389.100')
('389.340', '391.560')
('391.710', '393.990')
('394.290', '398.250')
('398.370', '400.230')
('400.560', '402.480')
('402.570', '403.170')
('403.470', '407.100')
('407.310', '409.710')
('409.710', '410.970')
('411.540', '413.850')
('414.090', '420.120')
('420.360', '421.770')
('423.150', '426.150')
('427.230', '428.460')
('429.000', '430.020')
('430.860', '433.740')
('433.740', '434.520')
('434.880', '435.870')
('436.860', '441.000')
('441.180', '442.110')
('443.100', '445.800')
('446.430', '448.860')
('449.160', '449.940')
('449.970', '451.080')
('451.230', '453.750')
('454.290', '454.890')
('455.250', '457.740')
('458.010', '460.020')
('460.050', '460.740')
('460.860', '463.770')
('464.040', '466.290')
('466.560', '467.430')
('467.910', '469.170')
('469.830', '471.480')
('471.690', '473.970')
('474.360', '478.860')
('478.860', '479.550')
('479.760', '485.010')
('485.310', '487.740')
('488.370', '490.260')
('490.290', '491.220')
('491.220', '492.840')
('493.080', '497.370')
('498.450', '500.310')
('500.580', '505.530')
('505.650', '506.970')

