('0.270', '8.790')
('8.940', '38.940')
('38.940', '48.690')
('48.720', '68.010')
('68.010', '71.400')
('73.170', '86.310')
('86.340', '104.070')
('104.220', '105.090')
('105.540', '120.690')
('120.930', '124.830')
('124.830', '125.490')
('127.020', '128.550')
('131.460', '132.300')
('133.320', '135.900')
('136.920', '140.670')
('142.320', '145.800')
('146.040', '147.120')
('147.480', '148.920')
('150.840', '152.430')
('153.300', '159.180')
('159.240', '160.530')
('161.850', '162.630')
('162.630', '164.280')
('164.820', '165.630')
('166.560', '167.310')
('167.490', '168.600')
('168.930', '170.010')
('170.190', '171.270')
('171.270', '172.830')
('173.190', '175.410')
('175.830', '176.640')
('177.120', '177.930')
('178.800', '182.100')
('182.550', '186.840')
('187.440', '190.680')
('190.860', '195.690')
('195.810', '197.670')
('197.700', '202.050')
('203.400', '204.750')
('205.770', '206.970')
('207.210', '209.040')
('209.280', '212.460')
('212.760', '214.500')
('214.500', '217.470')
('217.680', '221.160')
('225.390', '226.230')
('229.710', '230.340')
('232.290', '232.890')
('233.010', '233.640')
('236.430', '238.170')
('238.590', '239.640')
('240.090', '242.400')
('244.050', '244.920')
('248.670', '249.270')
('250.890', '251.490')
('252.060', '252.810')
('255.360', '255.960')
('256.860', '257.640')
('260.730', '261.420')
('262.590', '264.090')
('275.610', '276.210')
('276.840', '277.740')
('279.480', '281.160')
('287.460', '288.060')
('288.990', '289.950')
('303.300', '304.200')
('306.180', '306.870')
('310.440', '311.040')
('312.000', '313.110')
('313.740', '315.180')
('322.680', '327.900')
('327.960', '329.220')
('331.290', '332.220')
('333.360', '334.950')
('338.700', '339.300')
('341.220', '341.910')
('344.640', '345.780')
('347.190', '347.850')
('349.590', '350.220')
('354.360', '355.110')
('361.950', '362.670')
('363.690', '364.410')
('374.340', '374.940')
('375.960', '376.560')
('379.710', '380.310')
('387.450', '388.710')
('389.430', '390.030')
('390.690', '391.380')
('392.520', '394.590')
('397.320', '397.950')
('398.580', '399.660')
('400.590', '401.910')
('402.810', '404.280')
('405.090', '406.950')
('408.900', '410.010')
('410.040', '411.600')
('412.260', '413.850')
('414.240', '414.870')
('418.350', '418.950')
('419.520', '420.840')
('423.210', '425.550')
('428.670', '429.690')
('431.610', '433.260')
('433.500', '434.790')
('435.060', '436.200')
('439.440', '440.040')
('442.530', '443.130')
('444.720', '446.070')
('446.340', '447.360')
('447.390', '448.080')
('449.700', '450.660')
('451.170', '454.560')
('457.230', '457.830')
('458.580', '459.870')
('459.960', '460.830')
('461.670', '463.650')
('464.670', '465.390')
('465.960', '467.430')
('471.600', '473.760')
('474.150', '474.780')
('475.800', '476.460')
('481.740', '482.880')
('484.800', '487.860')
('487.860', '488.460')
('488.460', '490.710')
('490.920', '493.350')
('494.160', '496.410')

