('0.330', '11.370')
('11.550', '21.360')
('21.360', '26.430')
('26.430', '29.730')
('29.730', '32.850')
('32.850', '35.040')
('35.040', '38.310')
('38.430', '41.700')
('41.700', '46.530')
('46.530', '48.120')
('49.110', '55.560')
('56.160', '59.700')
('59.700', '65.010')
('65.010', '74.340')
('74.340', '84.990')
('84.990', '86.370')
('86.370', '90.540')
('90.720', '91.650')
('91.650', '96.330')
('96.600', '97.770')
('97.860', '103.830')
('104.190', '109.080')
('109.110', '111.270')
('111.480', '113.940')
('114.090', '115.950')
('116.070', '118.440')
('118.440', '119.670')
('119.820', '122.760')
('122.880', '125.460')
('127.830', '131.820')
('132.090', '135.810')
('136.290', '137.700')
('137.700', '139.080')
('139.080', '145.500')
('145.530', '148.530')
('148.950', '154.140')
('154.140', '155.790')
('156.120', '160.710')
('160.740', '163.380')
('163.830', '166.770')
('166.770', '168.720')
('168.750', '172.800')
('173.250', '177.690')
('177.900', '179.130')
('179.190', '183.300')
('184.110', '186.720')
('187.140', '189.690')
('189.780', '190.620')
('190.620', '192.540')
('192.900', '194.490')
('194.610', '195.930')
('195.930', '198.360')
('198.420', '200.760')
('200.760', '204.060')
('204.060', '207.900')
('207.900', '209.760')
('209.760', '212.280')
('212.280', '215.520')
('215.670', '222.930')
('223.290', '224.190')
('224.190', '226.230')
('226.500', '227.850')
('227.940', '232.830')
('232.830', '235.800')
('236.490', '237.570')
('237.780', '239.370')
('239.970', '241.530')
('242.250', '243.540')
('244.470', '245.700')
('246.690', '248.310')
('249.150', '250.560')
('251.250', '253.500')
('254.160', '255.210')
('256.410', '261.690')
('262.200', '266.970')
('267.420', '268.230')
('269.010', '273.180')
('273.660', '274.560')
('274.560', '278.700')
('278.850', '281.220')
('281.220', '282.240')
('282.960', '284.490')
('284.610', '287.340')
('287.340', '289.950')
('289.950', '292.140')
('292.290', '293.820')
('293.850', '297.090')
('297.630', '302.070')
('302.070', '303.180')
('303.210', '304.740')
('305.460', '306.600')
('307.410', '308.550')
('309.180', '310.440')
('310.890', '312.090')
('312.090', '314.730')
('314.970', '316.380')
('316.740', '318.090')
('318.240', '320.280')
('320.550', '322.500')
('323.280', '325.170')
('325.230', '326.460')
('326.700', '327.420')
('327.450', '329.760')
('329.760', '330.840')
('331.050', '333.660')
('333.810', '336.060')
('336.330', '338.700')
('339.060', '343.320')
('343.440', '346.080')
('346.410', '348.750')
('348.990', '349.620')
('349.740', '354.750')
('354.750', '356.820')
('357.030', '359.250')
('359.280', '362.280')
('362.460', '363.870')
('364.110', '365.250')
('365.730', '368.460')
('368.490', '369.450')
('370.650', '371.370')
('371.700', '372.720')
('372.990', '373.890')
('373.890', '375.030')
('375.210', '377.940')
('377.940', '379.470')
('379.470', '383.280')
('384.150', '388.440')
('388.920', '390.210')
('390.330', '391.950')
('392.400', '394.110')
('394.380', '398.610')
('398.760', '399.720')
('400.410', '402.450')
('402.450', '403.950')
('404.220', '405.900')
('406.620', '409.650')
('409.740', '412.050')
('412.440', '414.660')
('414.660', '423.300')
('423.450', '427.620')
('427.680', '429.630')
('430.650', '432.300')
('432.660', '435.300')
('436.020', '438.000')
('438.660', '439.860')
('440.700', '442.050')
('442.050', '443.100')
('443.610', '445.620')
('445.680', '446.850')
('447.630', '449.430')
('449.910', '451.470')
('452.010', '452.610')
('452.610', '454.770')
('455.310', '457.170')
('457.290', '459.000')
('459.510', '461.250')
('461.310', '462.060')
('462.210', '464.790')
('465.600', '468.000')
('468.120', '469.680')
('469.830', '472.830')
('473.010', '475.590')
('475.620', '478.020')
('478.230', '479.850')
('480.330', '481.110')
('481.230', '484.890')
('485.070', '485.700')
('486.450', '488.820')
('489.090', '491.580')
('491.670', '492.780')
('492.780', '494.520')
('494.520', '497.130')
('497.130', '499.320')
('500.250', '503.130')
('503.130', '505.980')
('505.980', '507.090')
('507.870', '514.650')
('514.830', '517.800')
('517.890', '520.950')
('521.340', '523.620')
('523.620', '525.300')
('525.540', '528.270')
('529.200', '532.080')
('532.590', '533.430')
('533.610', '536.070')
('536.280', '537.300')
('537.360', '538.950')
('539.310', '539.940')
('540.000', '544.470')
('544.980', '546.120')
('546.720', '548.280')
('549.510', '550.770')
('551.970', '555.360')
('555.510', '557.010')
('557.400', '561.360')
('561.360', '562.440')
('562.740', '565.140')
('566.130', '569.100')
('569.400', '572.430')
('572.490', '575.310')
('575.370', '577.410')
('577.410', '578.400')
('579.360', '581.130')
('581.130', '585.300')
('585.360', '586.830')
('587.370', '588.540')

('589.020', '592.710')
