('0.000', '6.030')
('13.140', '14.100')
('14.310', '15.420')
('15.930', '18.990')
('19.140', '19.770')
('19.980', '21.480')
('22.560', '24.750')
('24.750', '25.350')
('25.830', '26.460')
('27.030', '29.670')
('30.960', '33.510')
('34.980', '35.940')
('36.000', '38.070')
('38.130', '40.590')
('40.920', '43.710')
('44.790', '46.410')
('46.590', '51.960')
('52.620', '55.440')
('56.790', '59.670')
('60.000', '62.430')
('62.820', '63.780')
('64.320', '65.880')
('66.090', '66.690')
('67.110', '69.810')
('70.380', '74.730')
('76.110', '78.000')
('78.660', '82.980')
('84.060', '90.210')
('90.660', '93.180')
('93.450', '99.900')
('100.020', '101.130')
('101.340', '105.300')
('105.930', '106.530')
('107.190', '110.640')
('111.300', '117.480')
('117.960', '120.180')
('120.930', '122.250')
('122.610', '125.790')
('125.790', '126.630')
('126.990', '127.740')
('127.740', '129.240')
('129.840', '132.330')
('133.770', '135.600')
('136.650', '139.260')
('139.260', '141.600')
('142.170', '144.000')
('144.000', '153.060')
('153.270', '154.920')
('154.920', '160.050')
('160.680', '161.910')
('162.240', '170.760')
('171.240', '172.440')
('172.710', '176.910')
('177.120', '178.470')
('178.470', '179.880')
('180.510', '182.160')
('182.820', '186.600')
('186.990', '187.950')
('188.820', '192.660')
('194.010', '195.000')
('195.870', '196.860')
('197.460', '198.300')
('198.570', '200.760')
('200.790', '204.360')
('204.780', '207.780')
('208.110', '211.140')
('212.100', '213.750')
('214.620', '219.360')
('220.050', '224.130')
('224.340', '228.900')
('229.470', '231.480')
('232.020', '235.110')
('235.860', '237.930')
('238.590', '242.760')
('243.030', '247.170')
('247.680', '249.750')
('249.750', '253.230')
('253.830', '257.760')
('258.720', '260.070')
('260.250', '265.230')
('265.500', '267.480')
('267.870', '270.990')
('271.320', '275.520')
('275.820', '277.530')
('277.770', '279.180')
('279.900', '280.590')
('280.950', '283.530')
('283.620', '288.960')
('289.380', '294.270')
('295.350', '296.100')
('297.750', '298.590')
('298.680', '299.880')
('301.350', '304.380')
('304.710', '306.390')
('306.540', '309.150')
('309.480', '312.900')
('313.350', '314.400')
('314.550', '317.190')
('317.550', '318.690')
('318.810', '319.920')
('322.440', '324.060')
('325.260', '326.010')
('326.430', '328.470')
('329.700', '332.100')
('332.100', '334.380')
('335.070', '335.910')
('336.360', '337.500')
('337.710', '339.270')
('339.270', '340.020')
('340.530', '342.750')
('343.500', '345.960')
('345.960', '348.420')
('349.140', '352.080')
('354.390', '356.250')
('356.400', '357.780')
('358.620', '360.180')
('360.570', '361.620')
('361.620', '362.220')
('363.090', '367.470')
('367.620', '368.280')
('368.520', '370.740')
('370.980', '374.220')
('375.180', '377.550')
('378.090', '379.830')
('380.340', '382.020')
('382.620', '383.460')
('384.210', '388.530')
('389.400', '391.110')
('391.230', '392.970')
('393.270', '396.210')
('397.830', '400.140')
('400.140', '401.100')
('401.460', '405.000')
('405.090', '406.800')
('407.100', '409.110')
('409.320', '410.370')
('414.030', '414.900')
('415.050', '416.550')
('416.970', '417.990')
('419.310', '421.140')
('421.200', '424.800')
('426.630', '431.070')
('431.070', '433.560')
('433.830', '436.200')
('436.410', '438.900')
('439.440', '440.820')
('440.820', '441.840')
('443.730', '445.980')
('447.150', '450.780')
('451.080', '455.520')
('457.110', '458.250')
('458.640', '459.420')
('459.870', '461.730')
('462.510', '463.350')
('463.770', '465.120')
('465.120', '468.690')
('468.900', '470.130')
('470.940', '472.770')
('473.100', '475.530')
('475.860', '477.150')
('478.050', '479.040')
('479.640', '481.770')
('482.100', '484.560')
('484.890', '486.360')
('486.690', '488.190')
('488.910', '490.200')
('490.320', '491.100')
('491.670', '494.910')
('495.690', '496.350')
('496.380', '497.250')
('497.400', '499.590')
('499.710', '501.090')
('501.420', '503.460')
('503.820', '504.960')
('505.170', '505.980')
('507.420', '508.050')
('509.580', '510.240')
('510.360', '511.650')
('511.830', '514.140')
('514.740', '517.710')
('518.400', '519.450')
('520.020', '520.800')
('521.790', '524.130')
('524.820', '528.480')
('528.990', '529.800')
('530.370', '531.210')
('531.630', '533.700')
('533.760', '534.540')
('534.750', '536.010')
('536.370', '539.100')
('539.490', '541.650')
('541.770', '546.540')
('547.200', '548.250')
('548.310', '549.480')
('549.900', '551.730')
('552.270', '552.990')
('554.040', '555.720')
('556.620', '560.670')
('560.790', '561.390')
('561.690', '562.710')
('562.890', '564.000')
('564.810', '568.350')
('568.740', '569.880')
('569.940', '572.250')
('572.310', '576.540')
('577.710', '578.940')
('579.120', '581.910')
('582.720', '585.420')
('585.600', '586.200')
('586.200', '588.570')
('589.050', '590.610')
('590.940', '591.630')
('594.150', '594.870')
('596.460', '598.230')
('599.130', '601.290')
('601.410', '602.070')
('602.760', '603.360')
('603.810', '604.440')
('604.530', '606.510')
('607.470', '608.250')
('608.640', '609.240')
('610.770', '612.210')
('612.930', '615.540')
('615.930', '620.460')
('621.390', '623.220')
('623.280', '624.360')
('627.300', '628.800')

