('0.000', '6.240')
('6.360', '13.650')
('13.650', '15.030')
('15.030', '16.620')
('16.620', '20.280')
('20.760', '24.030')
('24.120', '26.940')
('27.030', '30.960')
('31.170', '33.750')
('34.590', '36.390')
('36.480', '37.680')
('38.040', '40.260')
('40.290', '42.930')
('42.930', '48.000')
('48.180', '52.050')
('52.680', '56.550')
('56.610', '58.020')
('58.020', '59.490')
('59.790', '60.690')
('61.050', '63.840')
('64.170', '67.830')
('68.190', '70.590')
('71.070', '73.350')
('73.350', '75.270')
('76.140', '77.070')
('77.100', '81.990')
('82.500', '83.670')
('83.670', '85.980')
('85.980', '90.360')
('90.360', '90.960')
('91.020', '93.420')
('93.720', '95.370')
('96.240', '96.960')
('97.110', '98.070')
('98.910', '101.280')
('101.610', '103.170')
('103.260', '105.000')
('105.360', '106.260')
('106.260', '107.970')
('108.660', '110.100')
('110.190', '110.970')
('111.390', '113.160')
('113.670', '116.430')
('116.430', '117.690')
('118.170', '118.860')
('118.860', '120.480')
('120.480', '123.180')
('123.690', '124.710')
('125.850', '127.590')
('127.620', '130.080')
('131.340', '132.000')
('132.090', '135.060')
('135.810', '136.560')
('137.310', '137.910')
('137.970', '139.440')
('139.680', '141.360')
('141.900', '143.580')
('144.120', '145.590')
('145.830', '147.330')
('150.120', '151.110')
('151.110', '152.100')
('152.130', '155.370')
('155.640', '156.750')
('157.050', '158.820')
('158.820', '160.200')
('160.350', '161.160')
('161.280', '165.030')
('165.300', '166.140')
('166.830', '171.360')
('171.690', '176.220')
('177.960', '180.630')
('180.630', '181.290')
('181.620', '182.370')
('182.370', '183.210')
('184.830', '186.330')
('186.420', '188.370')
('188.640', '189.690')
('190.350', '191.970')
('192.570', '193.170')
('193.350', '194.850')
('194.880', '196.650')
('197.580', '198.330')
('198.750', '200.820')
('201.060', '202.650')
('203.490', '204.570')
('204.720', '205.590')
('206.400', '207.330')
('207.570', '209.970')
('210.030', '210.840')
('212.910', '213.780')
('214.830', '215.850')
('217.290', '218.610')
('220.860', '222.270')
('222.480', '223.080')
('223.200', '225.390')
('225.810', '226.800')
('227.910', '230.430')
('231.690', '232.500')
('233.490', '236.220')
('236.460', '238.110')
('240.930', '244.710')
('245.400', '248.100')
('249.060', '249.960')
('250.080', '251.100')
('252.000', '252.930')
('253.650', '254.400')
('254.400', '255.660')
('258.120', '258.840')
('259.110', '260.190')
('260.310', '261.210')
('261.210', '262.110')
('262.950', '264.390')
('265.560', '266.190')
('266.490', '267.750')
('268.590', '269.790')
('271.140', '271.950')
('272.250', '272.940')
('273.210', '274.110')
('274.110', '275.820')
('275.850', '276.510')
('278.130', '279.630')
('280.350', '280.980')
('281.040', '281.640')
('283.620', '285.270')
('285.570', '288.300')
('288.360', '289.080')
('290.010', '290.670')
('290.970', '291.750')
('292.080', '292.770')
('293.130', '294.510')
('294.900', '296.490')
('297.600', '299.640')
('301.410', '302.250')
('302.640', '305.130')
('305.250', '306.780')
('307.410', '308.070')
('310.320', '311.610')
('312.240', '314.070')
('314.700', '316.020')
('316.530', '318.060')
('319.080', '320.100')
('320.280', '321.840')
('321.840', '323.730')
('323.850', '324.930')
('325.230', '326.760')
('327.030', '328.410')
('332.730', '334.590')
('335.100', '336.060')
('337.650', '338.670')
('339.570', '340.170')
('340.350', '341.730')
('344.640', '345.510')
('345.750', '347.550')
('348.600', '349.230')
('350.190', '351.870')
('352.290', '353.550')
('353.550', '354.210')
('354.240', '355.050')
('355.230', '356.310')
('359.880', '361.140')
('361.860', '363.180')
('365.130', '366.420')
('366.570', '367.500')
('368.220', '369.480')
('369.690', '370.620')
('370.950', '371.730')
('371.910', '374.160')
('375.120', '376.230')
('376.230', '378.510')
('378.660', '380.640')
('380.970', '381.990')
('382.080', '382.830')
('383.250', '384.060')
('384.690', '385.380')
('385.470', '386.490')
('387.900', '388.740')
('391.110', '392.130')
('394.020', '395.580')
('395.700', '396.450')
('396.450', '397.980')
('398.700', '399.360')
('399.390', '400.320')
('400.620', '401.970')
('402.120', '403.050')
('404.310', '405.210')
('405.540', '406.620')
('407.010', '407.700')
('408.060', '409.590')
('411.810', '412.500')
('414.000', '414.840')
('415.200', '416.070')
('417.090', '417.990')
('419.370', '420.900')
('421.020', '422.190')
('422.220', '424.110')
('424.140', '425.040')
('426.330', '427.560')
('427.860', '429.690')
('429.750', '431.130')
('433.680', '435.150')
('435.600', '437.280')
('437.670', '438.630')
('439.050', '439.890')
('439.890', '440.970')
('442.140', '442.920')
('443.430', '444.480')
('446.940', '449.490')
('449.910', '451.350')
('452.160', '453.270')
('453.270', '454.230')
('456.090', '456.690')
('457.650', '458.640')
('461.730', '462.480')
('462.600', '463.560')
('463.560', '465.630')
('468.630', '469.290')
('469.560', '471.030')
('472.080', '472.800')
('472.830', '473.730')
('473.820', '475.770')
('477.060', '477.780')
('477.990', '479.610')
('480.450', '481.320')
('483.750', '484.530')

