('0.030', '12.900')
('12.960', '13.590')
('13.770', '24.420')
('24.720', '27.900')
('28.080', '29.310')
('30.120', '31.050')
('31.560', '33.240')
('34.350', '35.760')
('35.910', '37.170')
('38.850', '39.450')
('39.900', '44.430')
('44.670', '45.330')
('45.450', '47.370')
('47.490', '49.560')
('50.250', '50.850')
('51.000', '52.800')
('53.190', '55.290')
('55.860', '59.070')
('59.070', '59.670')
('61.200', '62.610')
('64.140', '66.540')
('66.540', '67.710')
('67.740', '70.110')
('70.830', '71.490')
('71.580', '73.860')
('77.100', '79.050')
('79.590', '81.570')
('82.620', '86.400')
('86.550', '90.210')
('90.450', '96.660')
('97.110', '99.270')
('99.300', '102.630')
('102.870', '106.800')
('106.830', '108.870')
('108.930', '110.310')
('110.880', '116.100')
('116.520', '122.310')
('122.430', '126.390')
('126.690', '130.380')
('130.800', '132.060')
('132.090', '133.950')
('134.010', '139.530')
('140.340', '140.940')
('141.030', '143.520')
('149.700', '150.810')
('151.710', '152.340')
('152.640', '157.860')
('158.400', '159.150')
('159.480', '160.380')
('160.380', '162.480')
('163.110', '166.680')
('167.220', '167.850')
('167.970', '171.450')
('171.720', '173.760')
('173.760', '175.650')
('176.430', '177.030')
('178.560', '182.010')
('182.550', '183.150')
('183.150', '184.920')
('184.920', '188.520')
('191.040', '191.640')
('192.810', '196.080')
('197.100', '199.380')
('199.890', '200.580')
('200.580', '204.420')
('204.540', '208.590')
('208.950', '213.780')
('214.320', '215.070')
('215.250', '219.960')
('221.430', '225.090')
('227.160', '227.910')
('228.390', '230.700')
('231.180', '232.620')
('232.740', '235.200')
('235.800', '237.150')
('237.360', '238.020')
('238.020', '238.800')
('240.570', '241.800')
('241.860', '245.100')
('245.430', '248.640')
('249.030', '249.720')
('249.810', '251.490')
('253.140', '254.430')
('254.730', '255.750')
('256.110', '261.300')
('261.510', '262.320')
('263.850', '264.750')
('267.210', '270.660')
('271.500', '272.220')
('272.400', '277.200')
('277.590', '278.220')
('278.370', '279.510')
('279.810', '281.070')
('281.640', '283.980')
('284.310', '286.470')
('287.550', '288.330')
('288.330', '289.200')
('290.220', '291.060')
('292.470', '293.070')
