('0.000', '13.560')
('13.680', '17.280')
('17.520', '25.200')
('25.200', '30.660')
('30.660', '32.430')
('32.520', '35.280')
('35.310', '36.810')
('36.840', '38.310')
('38.340', '43.170')
('43.350', '44.700')
('45.000', '47.040')
('47.430', '49.350')
('49.500', '51.840')
('52.200', '53.940')
('54.090', '57.060')
('57.060', '57.900')
('58.140', '62.520')
('62.610', '65.010')
('65.190', '69.150')
('69.210', '72.300')
('72.720', '78.540')
('78.600', '80.850')
('81.180', '83.010')
('83.010', '85.290')
('85.290', '93.270')
('93.270', '96.120')
('96.210', '98.010')
('98.040', '99.030')
('99.030', '100.500')
('100.500', '103.110')
('103.530', '104.850')
('104.880', '105.510')
('105.780', '108.000')
('108.000', '110.400')
('110.460', '112.650')
('112.800', '116.040')
('116.220', '118.920')
('118.980', '121.470')
('121.560', '122.430')
('122.430', '125.610')
('125.610', '131.580')
('131.880', '135.090')
('135.090', '138.600')
('138.870', '142.470')
('142.620', '143.550')
('143.550', '144.510')
('144.630', '146.610')
('146.610', '147.750')
('147.840', '148.740')
('148.770', '149.820')
('149.850', '150.840')
('151.140', '156.270')
('156.300', '157.470')
('157.470', '159.240')
('159.240', '160.980')
('161.130', '162.270')
('162.390', '163.740')
('163.740', '165.930')
('166.350', '168.090')
('168.090', '171.810')
('171.840', '174.750')
('174.990', '175.770')
('175.830', '176.970')
('177.270', '178.680')
('179.100', '180.840')
('180.870', '181.830')
('181.830', '184.470')
('185.130', '185.850')
('186.180', '188.700')
('189.000', '190.200')
('190.200', '191.160')
('191.430', '193.500')
('193.530', '198.990')
('199.020', '202.290')
('202.500', '204.030')
('204.420', '205.260')
('205.260', '207.300')
('207.600', '208.680')
('209.250', '210.450')
('210.630', '214.650')
('214.980', '216.330')
('216.330', '217.500')
('217.620', '219.180')
('220.320', '221.250')
('221.400', '222.660')
('222.900', '223.950')
('224.880', '228.900')
('229.350', '230.850')
('231.030', '231.930')
('231.930', '234.390')
('234.630', '236.310')
('236.580', '237.330')
('237.330', '238.230')
('238.290', '239.490')
('240.180', '242.250')
('242.730', '243.510')
('243.570', '244.920')
('245.400', '246.810')
('246.810', '248.580')
('248.610', '249.990')
('251.340', '254.580')
('254.880', '256.350')
('256.380', '257.160')
('257.250', '262.230')
('262.320', '263.610')
('263.610', '265.200')
('265.710', '267.180')
('267.420', '268.290')
('268.890', '269.850')
('270.600', '272.220')
('272.250', '273.690')
('274.110', '275.250')
('275.460', '276.840')
('277.620', '279.960')
('280.650', '282.900')
('283.110', '284.880')
('285.090', '286.530')
('286.770', '287.460')
('287.850', '288.960')
('288.960', '289.560')
('290.610', '291.270')
('291.510', '292.440')
('292.890', '295.350')
('295.830', '297.000')
('297.420', '298.350')
('298.440', '299.430')
('299.790', '300.660')
('300.990', '301.770')
('301.920', '302.820')
('303.240', '304.380')
('304.410', '305.850')
('306.420', '307.080')
('307.080', '308.580')
('308.760', '309.420')
('310.020', '310.650')
('310.980', '312.150')
('312.180', '312.840')
('313.050', '313.680')
('313.950', '316.050')
('317.400', '319.650')
('320.880', '322.860')
('323.220', '324.510')
('324.690', '325.290')
('325.380', '328.350')
('328.920', '331.560')
('331.650', '332.640')
('332.790', '334.290')
('334.530', '336.180')
('336.690', '339.150')
('339.330', '340.440')
('340.560', '342.000')
('342.060', '344.250')
('344.430', '345.570')
('346.080', '347.160')
('347.670', '348.570')
('348.810', '350.340')
('350.490', '351.090')
('351.510', '353.400')
('353.670', '355.860')
('355.950', '358.650')
('358.920', '360.060')
('360.300', '361.410')
('361.770', '363.210')
('364.020', '364.710')
('365.130', '367.320')
('368.250', '370.230')
('370.770', '373.020')
('373.950', '376.050')
('376.230', '378.180')
('379.290', '382.260')
('382.260', '384.480')
('384.690', '385.470')
('385.680', '386.700')
('386.910', '387.660')
('388.200', '393.150')
('393.690', '394.500')
('395.040', '396.810')
('396.810', '397.440')
('397.440', '400.320')
('401.880', '402.480')
('403.230', '403.890')
('404.010', '406.020')
('406.140', '407.160')
('407.220', '409.200')
('409.290', '411.330')
('411.330', '412.500')
('412.500', '413.250')
('413.430', '414.840')
('414.900', '415.830')
('418.050', '418.770')
('418.920', '419.730')
('419.730', '420.930')
('421.500', '422.880')
('423.930', '424.770')
('424.770', '425.670')
('426.390', '427.740')
('428.310', '430.440')
('431.070', '432.000')
('432.000', '433.140')
('433.380', '434.280')
('434.610', '435.540')
('435.600', '436.560')
('436.830', '437.790')
('438.180', '439.620')
('440.010', '441.540')
('442.230', '444.240')
('444.360', '446.400')
('446.610', '447.990')
('447.990', '448.650')
('448.740', '450.090')
('451.200', '453.360')
('453.570', '454.920')
('454.920', '457.260')
('457.440', '459.630')
('459.930', '461.010')
('461.130', '462.210')
('463.590', '464.550')
('464.640', '465.570')
('465.780', '466.500')
('466.830', '468.240')
('468.420', '469.080')
('469.140', '469.890')
('470.310', '471.900')
('472.170', '473.760')
('474.150', '476.160')
('476.160', '477.480')
('477.660', '479.400')
('479.640', '480.570')
('481.020', '482.610')
('482.760', '483.810')
('484.080', '484.950')
('485.370', '486.810')
('488.250', '490.140')
('491.760', '493.260')
('493.740', '494.670')
('496.620', '497.430')
('497.700', '499.350')
('500.220', '503.460')
('503.670', '505.530')
('505.710', '506.430')
('506.550', '507.930')
('507.960', '509.160')
('509.250', '511.350')
('511.350', '512.040')
('512.460', '513.840')
('514.020', '517.080')
('517.260', '519.360')
('519.750', '521.400')
('521.940', '523.080')
('523.590', '524.430')
('524.610', '527.490')
('528.150', '528.750')
('528.990', '530.250')
('530.640', '531.960')
('532.440', '534.660')
('534.930', '536.010')
('536.310', '538.890')
('539.100', '541.350')
('541.560', '542.880')
('543.030', '544.320')
('544.500', '545.490')
('545.700', '546.870')
('547.020', '549.600')
('549.660', '551.310')
('552.000', '553.140')
('553.200', '555.630')
('555.630', '558.240')
('558.420', '560.370')
('561.060', '562.230')
('562.320', '563.910')
('563.910', '565.470')
('565.620', '566.910')
('567.000', '568.380')
('568.530', '569.610')
('570.180', '572.370')
('573.330', '574.050')
('575.730', '576.810')
('577.110', '578.610')
('579.750', '580.590')
('582.480', '583.680')
('583.680', '585.360')
('585.660', '586.440')
('586.530', '588.750')
('588.750', '589.350')
('589.950', '591.570')
('591.840', '592.860')
('593.250', '594.210')
('594.540', '595.200')
('595.440', '596.580')
('596.730', '598.890')
('599.370', '600.540')
('601.170', '602.070')
('602.220', '603.120')
('603.960', '605.460')
('605.580', '606.660')
('606.960', '607.800')
('608.010', '610.440')
('610.500', '611.100')
('611.250', '612.090')
('612.480', '614.400')
('614.580', '615.540')
('616.350', '616.950')
('617.490', '618.450')
('619.080', '619.860')
('620.520', '623.010')
('623.070', '624.510')
('624.630', '626.820')
('627.570', '628.230')
('628.590', '629.910')
('632.010', '633.450')
('633.750', '635.040')
('635.280', '636.300')
('636.750', '639.210')
('640.230', '642.270')
('642.990', '645.120')
('648.510', '650.280')
('650.490', '651.900')
('652.080', '653.250')
('654.000', '655.080')
('655.230', '657.510')
('657.720', '659.430')
('659.700', '661.560')
('661.560', '662.190')
('662.250', '663.960')
('664.320', '666.330')
('667.740', '668.970')
('669.120', '671.490')
('671.490', '672.510')
('672.750', '674.250')
('674.520', '678.360')
('678.360', '679.800')
('680.100', '680.910')
('681.810', '682.410')
('682.470', '684.000')
('685.410', '686.010')
('686.370', '687.840')
('688.080', '689.370')
('689.730', '691.650')
('691.680', '693.300')
('693.450', '694.260')
('694.440', '696.030')
('696.420', '697.380')
('698.250', '701.490')
('701.670', '702.660')
('702.660', '704.940')
('705.210', '706.110')
('706.470', '707.340')
('708.270', '709.410')
('709.890', '711.090')
('711.870', '712.530')
('712.890', '713.730')
('714.240', '715.170')
('716.220', '718.530')
('718.920', '720.660')
('720.750', '721.800')
('722.370', '723.150')
('723.300', '725.040')
('727.860', '730.860')
('733.230', '734.010')
('734.400', '735.120')
('735.150', '736.410')
('736.710', '738.270')
('738.450', '740.490')
('741.750', '743.010')
('744.450', '745.500')
('747.210', '748.980')
('749.250', '750.270')
('750.750', '753.090')
('753.780', '754.650')
('755.880', '757.620')
('758.250', '760.170')
('760.170', '761.700')
('761.760', '763.170')
('763.650', '764.280')
('764.460', '766.140')
('766.170', '767.460')
('767.460', '768.780')
('769.440', '771.570')
('771.690', '774.000')
('774.150', '774.810')
('774.900', '776.130')
('776.730', '777.660')
('778.050', '779.310')
('779.340', '780.630')
('780.840', '782.310')
('782.310', '782.910')
('783.150', '785.970')
('786.150', '787.200')
('787.200', '789.210')
('789.240', '790.260')
('790.680', '792.030')
('793.110', '794.670')
('795.240', '796.050')
('796.290', '798.480')
('799.740', '800.430')
('800.670', '802.620')
('802.860', '803.760')
('804.180', '805.440')
('805.830', '807.390')
('807.810', '808.770')
('809.040', '810.840')
('810.840', '811.440')
('811.560', '812.760')
('814.350', '815.220')
('815.460', '816.870')
('816.870', '817.770')
('818.400', '819.630')
('820.560', '822.360')
('822.990', '824.610')
('825.480', '826.410')
('826.770', '827.370')
('827.580', '829.470')
('829.830', '831.360')
('831.840', '833.220')
('833.490', '834.570')
('834.600', '835.350')
('835.500', '836.640')
('836.760', '838.620')
('838.950', '840.330')
('840.810', '842.400')
('842.730', '844.350')
('845.010', '846.150')
('847.230', '848.940')
('849.960', '852.030')
('852.630', '855.720')
('855.960', '858.270')
('858.690', '860.040')
('860.190', '861.300')
('861.480', '863.190')
('863.370', '865.440')
('865.800', '867.150')
('867.450', '868.530')
('868.590', '871.350')
('871.560', '872.160')
('872.400', '873.150')
('873.150', '874.410')
('875.190', '877.290')
('879.300', '880.590')
('880.980', '882.180')
('883.860', '885.480')
('885.870', '886.470')
('886.500', '887.100')
('887.100', '888.000')
('888.270', '891.120')
('891.420', '892.650')
('894.120', '895.050')
('895.080', '896.040')
('896.580', '898.110')
('898.890', '900.300')
('900.810', '901.860')
('903.210', '904.440')
('905.670', '907.800')
('908.430', '910.050')
('910.230', '912.240')
('913.710', '915.000')
('915.150', '916.590')
('917.760', '918.840')
('919.020', '919.920')
('921.240', '922.830')
('923.490', '924.840')
('925.410', '927.000')
('928.050', '929.130')
('929.130', '929.760')
('930.060', '930.660')
('932.220', '932.910')
('933.120', '934.590')
('934.890', '935.550')
('935.700', '936.810')
('937.080', '938.610')
('938.970', '939.930')
('940.500', '942.840')
('943.260', '944.610')
('944.910', '948.180')
('948.360', '949.380')
('950.610', '951.630')
('953.490', '954.270')
('955.500', '956.850')
('957.150', '959.130')
('959.310', '960.240')
('961.290', '962.970')
('963.150', '964.260')
('966.120', '967.950')
('969.300', '970.920')
('971.010', '976.350')
('976.410', '977.070')
('977.580', '978.360')
('981.300', '982.170')
('982.440', '983.370')
('983.520', '984.570')
('984.690', '985.740')
('986.040', '986.820')
('987.240', '989.340')
('989.550', '990.180')
('990.180', '991.410')
('992.910', '994.020')
('995.040', '996.420')
('997.050', '997.680')
('999.720', '1000.500')
('1000.800', '1002.570')
('1003.290', '1005.180')
('1005.570', '1007.820')
('1008.210', '1009.410')
('1009.740', '1010.700')
('1011.000', '1011.750')
('1011.930', '1012.920')
('1013.100', '1015.440')
('1015.770', '1016.700')
('1017.510', '1018.350')
('1018.380', '1018.980')
('1020.300', '1021.650')
('1021.860', '1022.820')
('1025.430', '1027.080')
('1027.260', '1028.460')
('1029.210', '1030.560')
('1030.950', '1031.550')
('1032.270', '1033.200')
('1033.260', '1034.340')
('1034.910', '1035.840')

