('0.120', '3.330')
('8.580', '10.110')
('10.230', '16.170')
('16.320', '21.870')
('22.410', '25.980')
('26.520', '30.060')
('30.240', '31.380')
('31.380', '35.220')
('35.850', '36.990')
('36.990', '38.370')
('38.490', '42.540')
('42.870', '48.630')
('48.630', '49.830')
('49.950', '54.990')
('55.200', '56.970')
('57.180', '60.630')
('61.830', '68.010')
('68.370', '72.990')
('73.620', '76.800')
('76.890', '81.960')
('81.990', '83.250')
('83.700', '88.890')
('89.400', '92.640')
('92.940', '94.230')
('94.230', '95.670')
('95.790', '98.100')
('98.970', '104.670')
('105.630', '108.720')
('108.930', '111.900')
('111.930', '114.330')

