('0.000', '15.360')
('15.450', '17.670')
('17.880', '21.060')
('21.120', '21.750')
('21.750', '26.190')
('26.190', '29.640')
('29.670', '33.030')
('33.360', '36.450')
('36.600', '38.580')
('38.580', '40.410')
('40.440', '42.120')
('42.180', '43.290')
('43.800', '44.400')
('44.790', '45.990')
('46.290', '52.470')
('52.830', '53.550')
('53.550', '55.470')
('55.770', '58.440')
('59.130', '59.880')
('63.060', '66.600')
('66.720', '68.010')
('68.130', '68.790')
('69.630', '73.710')
('74.640', '75.330')
('76.920', '79.080')
('79.200', '82.410')
('83.610', '84.270')
('84.600', '87.000')
('87.810', '91.470')
('92.130', '94.800')
('95.550', '96.210')
('96.240', '100.410')
('101.160', '102.150')
('103.590', '104.310')
('104.430', '106.860')
('107.700', '108.660')
('108.780', '110.280')
('110.790', '111.750')
('113.730', '114.540')
('114.630', '116.400')
('116.850', '117.660')
('117.840', '119.850')
('121.020', '121.950')
('122.190', '123.990')
('124.770', '125.820')
('127.080', '129.990')
('129.990', '130.710')
('131.340', '133.110')
('134.370', '136.080')
('136.950', '137.880')
('139.230', '139.830')
('140.280', '145.920')
('146.220', '149.400')
('149.760', '151.740')
('152.130', '154.710')
('155.670', '159.810')
('160.080', '160.740')
('160.770', '161.730')
('162.540', '164.130')
('164.430', '165.300')
('168.420', '169.440')
('169.950', '170.910')
('171.240', '172.020')
('172.740', '173.730')
('173.730', '175.890')
('179.610', '181.080')
('181.980', '182.820')
('182.970', '184.590')
('186.060', '187.710')
('189.360', '190.890')
('191.100', '192.690')
('194.820', '195.930')
('197.250', '197.850')
('199.200', '200.520')
('200.640', '203.640')
('203.670', '207.240')
('208.530', '210.930')
('211.350', '213.990')
('215.460', '218.190')
('218.850', '220.110')
('221.130', '222.660')
('223.320', '224.130')
('224.250', '230.040')
('231.570', '234.000')
('234.000', '236.910')
('238.110', '238.710')
('242.130', '243.240')
('243.660', '247.350')
('248.490', '249.090')
('250.860', '253.080')
('254.400', '255.510')
('256.200', '258.660')
('261.390', '264.930')
('271.290', '272.520')
('272.580', '273.870')
('274.740', '275.940')
('276.510', '277.110')
('278.820', '281.100')
('281.100', '283.680')
('286.110', '288.510')
('288.930', '290.400')
('290.400', '294.030')
('299.160', '303.390')
('303.510', '306.660')
('307.200', '308.160')
('308.160', '312.390')
('312.720', '318.270')
('318.480', '320.220')
('320.340', '321.690')
('324.240', '325.950')
('326.490', '329.700')
('330.510', '331.320')
('331.350', '332.460')
('332.460', '333.540')
('334.260', '334.860')
('338.430', '342.330')
('342.630', '347.340')
('347.610', '349.410')
('350.070', '352.470')
('353.040', '355.050')
('355.290', '357.930')
('357.930', '360.420')
('360.510', '361.590')
('364.350', '364.980')
('366.030', '369.480')
('369.900', '370.530')
('371.040', '374.190')
('374.760', '378.090')
('379.800', '380.400')
('380.670', '383.520')
('383.520', '384.180')
('385.440', '386.160')
('390.060', '393.180')
('394.620', '397.470')
('399.210', '400.260')
('400.890', '403.320')
('403.560', '407.760')
('407.880', '410.190')
('411.000', '411.720')
('411.720', '416.520')
('417.240', '419.970')
('420.030', '425.520')
('425.730', '427.470')
('429.030', '431.970')
('433.230', '435.990')
('436.560', '440.130')
('441.030', '444.930')
('445.650', '446.550')
('446.550', '447.390')
('447.660', '449.880')
('451.230', '453.720')
('453.750', '454.410')
('454.560', '455.580')
('455.580', '459.450')
('459.450', '460.080')
('460.230', '461.700')
('461.730', '466.260')
('466.920', '469.470')
('469.590', '473.880')
('474.030', '476.700')
('476.700', '478.560')
('480.150', '480.750')
('481.020', '482.100')

