('0.300', '4.710')
('4.710', '8.040')
('8.040', '12.750')
('12.750', '19.740')
('19.830', '22.710')
('22.830', '25.890')
('26.100', '31.770')
('32.070', '36.240')
('36.240', '37.500')
('37.650', '42.150')
('42.240', '46.020')
('46.020', '49.320')
('50.220', '56.490')
('56.580', '60.090')
('60.750', '62.820')
('63.060', '70.470')
('70.530', '73.590')
('73.860', '76.950')
('78.630', '79.320')
('79.350', '82.740')
('82.860', '86.400')
('86.400', '87.840')
('87.960', '88.800')
('88.830', '90.660')
('90.780', '94.080')
('94.080', '99.750')
('99.750', '100.650')
('100.680', '101.340')
('101.550', '102.960')
('102.960', '104.880')
('104.970', '107.190')
('107.850', '112.140')
('112.350', '113.430')
('113.490', '117.150')
('117.270', '119.340')
('119.760', '121.290')
('121.290', '123.300')
('123.570', '125.400')
('125.400', '126.420')
('126.570', '127.980')
('127.980', '129.480')
('129.480', '130.380')
('130.830', '132.990')
('133.050', '133.830')
('134.070', '137.280')
('138.540', '139.830')
('140.250', '142.290')
('142.320', '143.460')
('143.550', '147.720')
('148.230', '149.910')
('150.870', '152.820')
('152.910', '156.450')
('156.450', '158.520')
('160.050', '162.540')
('162.780', '164.100')
('164.130', '165.960')
('166.140', '168.060')
('168.960', '170.850')
('171.180', '174.960')
('175.950', '177.300')
('177.630', '178.830')
('178.830', '180.540')
('180.840', '183.210')
('183.360', '184.920')
('185.670', '188.490')
('189.540', '191.670')
('192.120', '193.320')
('194.730', '196.020')
('197.100', '198.210')
('198.900', '199.860')
('199.860', '200.640')
('200.880', '201.870')
('202.830', '204.570')
('204.840', '206.250')
('206.250', '208.860')
('209.040', '211.290')
('211.290', '212.640')
('212.910', '214.890')
('214.890', '216.030')
('216.360', '218.940')
('219.930', '220.920')
('221.820', '222.450')
('222.450', '223.260')
('223.290', '224.220')
('224.550', '228.570')
('229.080', '231.120')
('231.990', '234.780')
('234.990', '236.070')
('236.340', '238.200')
('238.620', '242.580')
('243.570', '244.470')
('244.710', '248.700')
('249.210', '249.900')
('249.900', '250.680')
('252.210', '253.470')
('256.170', '257.460')
('257.610', '258.990')
('259.260', '262.260')
('262.260', '263.070')
('264.300', '265.560')
('266.700', '269.550')
('269.820', '272.520')
('272.670', '273.750')
('273.840', '276.330')
('276.930', '279.240')
('279.480', '280.380')
('280.380', '281.730')
('281.760', '287.940')
('288.030', '289.440')
('289.440', '290.640')
('291.720', '294.870')
('294.870', '296.610')
('297.240', '298.170')
('298.320', '299.520')
('299.640', '300.450')
('300.600', '301.350')
('301.860', '302.880')
('302.970', '303.600')
('303.660', '304.740')
('305.220', '306.570')
('306.570', '308.400')
('308.910', '310.170')
('310.290', '311.370')
('311.790', '313.080')
('313.560', '314.610')
('314.610', '316.920')
('318.570', '319.530')
('320.310', '322.740')
('322.920', '324.930')
('325.230', '327.810')
('328.230', '329.460')
('329.520', '330.990')
('331.290', '333.210')

('335.670', '337.350')
