('0.000', '3.330')
('8.520', '10.050')
('10.290', '15.420')
('15.900', '20.010')
('22.590', '27.000')
('35.760', '40.200')
('40.260', '44.010')
('45.810', '47.910')
('48.060', '52.350')
('52.650', '55.260')
('57.210', '61.710')
('62.190', '64.440')
('65.430', '69.720')
('70.200', '72.570')
('72.750', '78.630')
('79.590', '81.720')
('81.840', '85.320')
('85.770', '92.430')
('93.570', '97.860')
('98.040', '104.520')
('105.120', '108.870')
('109.200', '110.550')
('110.820', '111.840')
('113.220', '118.770')
('120.660', '123.660')
('132.630', '136.500')
('137.190', '140.280')
('140.460', '142.950')
('157.110', '160.050')
('160.980', '163.290')
('163.500', '166.740')
('168.750', '171.630')
('171.630', '175.020')
('175.740', '178.500')
('180.240', '184.980')
('186.420', '191.610')
('192.360', '193.200')
('193.200', '196.860')
('198.600', '202.260')
('202.470', '203.460')
('203.760', '206.160')
('206.490', '210.720')
('212.340', '215.130')
('221.340', '224.880')
('230.700', '232.860')
('255.240', '259.680')
('259.830', '262.350')
('262.620', '265.170')
('265.410', '267.180')
('267.660', '269.490')
('269.490', '271.500')
('273.330', '274.770')
('274.770', '279.990')
('280.080', '282.600')
('283.860', '286.800')
('287.010', '288.060')
('288.060', '290.130')
('290.130', '291.210')
('291.990', '297.090')
('297.240', '299.640')
('301.740', '304.110')
('304.440', '306.840')
('308.550', '313.770')
('315.120', '316.470')
('316.980', '317.610')
('317.910', '321.660')
('321.720', '323.280')
('323.280', '325.950')
('326.280', '329.310')
('329.550', '333.660')
('333.900', '341.070')
('341.190', '344.700')
('345.870', '347.460')
('348.270', '353.460')
('353.460', '355.620')
('355.650', '357.000')
('357.390', '359.160')
('359.880', '366.360')
('367.500', '371.760')
('372.000', '373.170')
('373.800', '376.230')
('376.950', '378.690')
('378.930', '379.830')
('380.700', '386.130')
('387.420', '389.130')
('389.130', '389.730')
('397.320', '403.530')
('403.800', '406.740')
('406.920', '407.580')
('407.700', '408.720')
('408.960', '409.740')
('410.700', '411.660')
('412.230', '415.080')
('415.620', '416.430')

