('0.630', '1.530')
('1.710', '7.710')
('8.460', '13.230')
('13.230', '14.910')
('15.150', '17.670')
('19.020', '19.920')
('19.920', '21.450')
('21.450', '23.970')
('24.480', '29.970')
('30.540', '36.420')
('37.320', '38.820')
('38.820', '41.550')
('41.700', '42.330')
('42.330', '44.520')
('44.580', '45.750')
('45.750', '46.530')
('46.680', '48.450')
('48.540', '52.440')
('53.670', '54.930')
('54.930', '56.160')
('56.490', '58.980')
('59.160', '60.060')
('60.180', '63.990')
('65.370', '67.740')
('67.740', '69.000')
('69.000', '71.280')
('72.060', '73.080')
('73.110', '75.150')
('75.300', '78.540')
('81.330', '86.160')
('86.160', '88.230')
('88.530', '92.100')
('92.430', '94.350')
('94.350', '96.360')
('96.420', '98.190')
('99.090', '101.910')
('102.300', '103.680')
('103.740', '106.380')
('106.560', '108.510')
('108.600', '109.380')
('109.380', '112.470')
('113.310', '115.830')
('116.070', '118.680')
('118.830', '120.900')
('121.020', '122.880')
('124.920', '126.420')
('126.450', '128.760')
('129.240', '130.830')
('130.830', '132.360')
('132.390', '135.060')
('137.340', '138.120')
('138.240', '141.600')
('142.560', '145.650')
('145.740', '147.810')
('147.870', '149.190')
('149.430', '151.380')
('151.440', '153.390')
('154.440', '155.430')
('155.430', '158.070')
('158.340', '161.220')
('161.520', '162.390')
('162.390', '163.920')
('164.580', '166.350')
('166.410', '169.170')
('169.230', '172.320')
('172.830', '174.570')
('174.570', '178.020')
('178.080', '179.760')
('180.990', '182.730')

