('0.000', '7.230')
('7.530', '10.770')
('11.250', '12.030')
('12.450', '13.170')
('13.830', '15.420')
('18.480', '19.350')
('24.150', '25.020')
('28.110', '28.890')
('30.090', '31.680')
('32.070', '34.470')
('34.620', '35.940')
('35.940', '36.540')
('37.230', '38.550')
('41.280', '43.290')
('44.040', '45.720')
('47.580', '49.050')
('51.240', '53.370')
('53.970', '55.380')
('56.580', '57.870')
('59.460', '60.330')
('61.080', '61.710')
('61.950', '62.550')
('62.940', '63.720')
('64.350', '65.970')
('66.780', '69.690')
('70.650', '71.250')
('71.580', '72.660')
('77.730', '78.330')
('84.990', '85.830')
('89.100', '89.790')
('90.150', '90.960')
('91.050', '91.650')
('95.250', '95.850')
('96.450', '97.080')
('97.980', '99.330')
('101.070', '101.700')
('105.870', '106.680')
('107.370', '109.140')
('109.830', '110.430')
('110.790', '111.720')
('115.860', '116.670')
('117.300', '118.410')
('119.760', '120.510')
('121.230', '122.400')
('122.490', '123.090')
('123.870', '124.830')
('127.530', '128.640')
('129.450', '130.200')
('130.620', '131.490')
('133.230', '134.460')
('135.690', '136.380')
('137.940', '138.810')
('139.260', '140.220')
('145.170', '146.070')
('148.440', '149.070')
('149.400', '150.000')
('150.780', '151.530')
('155.760', '156.960')
('157.770', '158.490')
('165.930', '167.070')
('169.770', '171.090')
('171.180', '171.870')
('172.350', '172.980')
('176.730', '177.390')
('177.810', '178.590')
('178.830', '179.490')
('180.000', '181.500')
('184.590', '185.370')
('187.110', '187.710')
('189.390', '190.380')
('191.340', '192.000')
('194.880', '195.510')
('196.200', '197.040')
('201.810', '202.410')
('205.020', '205.740')
('205.800', '206.430')
('210.390', '211.290')
('223.680', '224.490')
('224.640', '225.240')
('227.460', '228.270')
('233.040', '233.940')
('234.960', '236.100')
('238.980', '239.580')
('243.090', '244.020')
('249.390', '251.820')
('255.750', '256.980')
('262.920', '263.520')
('263.790', '264.570')
('269.940', '270.600')
('275.220', '275.880')
('277.650', '278.460')
('278.700', '279.300')
('280.650', '281.400')
('283.320', '283.920')
('289.020', '289.650')
('291.240', '292.020')
