('7.890', '8.730')
('9.090', '13.530')
('13.860', '18.510')
('18.810', '21.510')
('21.750', '24.000')
('24.300', '25.950')
('26.160', '27.570')
('28.110', '30.600')
('30.870', '33.420')
('33.480', '34.170')
('34.260', '35.790')
('36.630', '38.520')
('38.970', '42.450')
('42.690', '45.150')
('45.510', '46.140')
('46.320', '48.420')
('48.570', '50.880')
('51.000', '52.980')
('53.490', '54.780')
('54.780', '57.690')
('58.080', '59.700')
('59.820', '62.820')
('63.930', '67.470')
('68.220', '70.200')
('70.410', '71.700')
('71.790', '73.410')
('73.710', '75.870')
('75.900', '76.950')
('77.790', '79.620')
('80.670', '81.960')
('82.440', '84.390')
('84.540', '86.490')
('87.450', '88.710')
('89.850', '91.350')
('91.470', '93.210')
('93.840', '96.510')
('96.510', '97.110')
('97.470', '99.090')
('99.120', '99.990')
('100.560', '103.830')
('104.220', '105.120')
('105.240', '107.850')
('108.210', '110.160')
('110.370', '112.230')
('112.470', '114.780')
('114.960', '116.040')
('116.190', '117.750')
('118.080', '119.460')
('120.360', '122.520')
('124.140', '125.160')
('125.430', '126.840')
('127.680', '130.200')
('130.410', '132.660')
('132.720', '133.860')
('134.520', '135.870')
('136.530', '138.690')
('138.960', '140.550')
('141.720', '143.370')
('144.450', '145.830')
('146.400', '148.230')
('148.440', '151.620')
('151.620', '152.700')
('152.820', '153.690')
('154.140', '155.340')
('155.760', '156.450')
('156.840', '158.100')
('158.430', '160.290')
('161.280', '162.180')
('162.210', '163.140')
('163.290', '164.100')
('164.220', '165.840')
('166.980', '168.060')
('168.810', '169.560')
('169.560', '171.210')
('173.130', '174.390')
('174.600', '175.680')
('176.220', '178.620')
('178.920', '180.030')
('180.330', '181.080')
('181.500', '183.150')
('183.810', '185.220')
('185.760', '186.390')
('186.870', '190.260')
('190.710', '192.780')
('192.810', '194.130')
('194.130', '196.080')
('196.920', '198.240')
('199.050', '201.990')
('202.350', '203.760')
('204.570', '205.200')
('205.560', '206.760')
('206.820', '208.230')
('208.260', '209.760')
('210.270', '212.220')
('213.000', '213.750')
('213.930', '215.610')
('216.600', '218.790')
('219.810', '221.970')
('223.320', '223.920')
('225.480', '226.770')
('228.900', '229.800')
('229.800', '231.240')
('232.440', '233.880')
('234.210', '235.290')
('235.290', '236.490')
('237.210', '239.370')
('239.370', '240.540')
('241.020', '241.950')
('241.950', '244.140')
('246.180', '247.380')
('248.550', '251.820')
('251.910', '252.780')
('253.110', '254.760')
('255.540', '256.500')
('256.560', '257.400')
('258.270', '260.610')
('260.880', '261.480')
('261.690', '263.010')
('263.760', '265.800')
('266.370', '268.530')
('268.740', '271.230')
('272.670', '274.500')
('275.100', '276.210')
('277.110', '278.940')
('279.480', '280.980')
('281.370', '282.870')
('282.870', '283.980')
('283.980', '285.390')
('285.390', '286.620')
('286.830', '287.790')
('287.790', '289.350')
('289.350', '290.550')
('291.060', '292.590')
('293.040', '293.700')
('293.730', '295.080')
('295.830', '297.030')
('297.900', '298.500')
('299.640', '300.990')
('301.500', '302.580')
('302.820', '304.110')
('304.110', '306.000')
('306.510', '309.750')
('310.950', '314.280')
('314.970', '315.960')
('317.250', '318.390')
('319.200', '320.700')
('321.180', '323.910')
('325.950', '328.320')
('329.250', '331.380')
('331.950', '334.560')
('335.580', '336.480')
('336.480', '338.430')
('339.090', '340.170')
('341.010', '342.270')
('344.280', '346.050')
('346.050', '347.160')
('348.240', '349.500')
('349.770', '352.770')
('353.130', '354.990')
('355.320', '356.430')
('357.810', '358.980')
('359.580', '361.350')
('362.220', '363.600')
('363.990', '364.950')
('365.790', '366.780')
