('0.180', '14.640')
('14.640', '15.870')
('16.050', '22.530')
('22.560', '26.370')
('26.370', '33.480')
('33.480', '35.490')
('35.490', '39.090')
('39.210', '42.570')
('42.570', '49.620')
('49.620', '57.030')
('57.030', '61.110')
('61.110', '67.800')
('68.220', '77.310')
('77.370', '79.800')
('79.800', '85.110')
('85.170', '87.540')
('87.540', '89.730')
('89.970', '93.210')
('93.210', '97.920')
('98.130', '99.000')
('99.000', '100.260')
('100.260', '102.540')
('102.990', '106.050')
('106.260', '108.540')
('108.780', '111.690')
('111.720', '114.660')
('114.870', '115.890')
('115.890', '116.610')
('116.610', '118.470')
('118.470', '119.430')
('120.030', '121.050')
('121.620', '123.030')
('123.210', '124.680')
('124.740', '128.580')
('129.180', '130.530')
('131.070', '134.400')
('134.400', '135.180')
('135.390', '137.040')
('137.850', '140.160')
('140.640', '143.160')
('143.250', '146.190')
('146.580', '147.990')
('148.440', '149.400')
('149.400', '150.180')
('150.840', '152.070')
('152.070', '153.810')
('154.320', '155.970')
('156.090', '162.150')
('162.270', '168.210')
('169.260', '170.790')
('171.060', '172.890')
('172.890', '174.060')
('174.480', '175.860')
('176.130', '178.170')
('178.260', '180.540')
('180.540', '181.890')
('182.460', '184.110')
('185.310', '186.240')
('186.240', '187.230')
('187.410', '189.150')
('189.240', '189.960')
('189.990', '192.090')
('192.330', '194.100')
('194.940', '195.540')
('195.600', '197.250')
('198.180', '202.890')
('202.890', '204.150')
('204.930', '206.610')
('206.940', '208.110')
('208.170', '212.160')
('212.460', '213.240')
('213.510', '215.070')
('215.730', '216.900')
('217.110', '218.700')
('218.700', '219.360')
('219.360', '220.260')
('221.190', '223.020')
('223.020', '225.240')
('225.960', '228.600')
('228.600', '230.250')
('230.280', '231.570')
('231.990', '232.650')
('232.650', '233.610')
('234.870', '236.670')
('237.510', '238.470')
('240.120', '241.440')
('241.740', '245.310')
('245.430', '247.620')
('247.980', '250.170')
('251.250', '252.840')
('252.870', '254.610')
('255.360', '257.070')
('258.060', '259.080')
('259.140', '260.610')
('260.670', '262.410')
('262.590', '263.880')
('264.960', '266.340')
('267.030', '268.050')
('268.200', '269.550')
('271.980', '272.880')
('273.300', '273.900')
('274.260', '276.090')
('276.090', '278.640')
('279.660', '282.930')
('283.170', '284.340')
('285.210', '286.500')
('286.500', '288.900')
('289.230', '290.730')
('290.850', '292.440')
('294.030', '295.230')
('295.230', '296.850')
('296.850', '297.810')
('297.870', '298.680')
('299.460', '300.690')
('300.780', '301.740')
('302.700', '304.680')
('304.800', '306.030')
('307.560', '308.400')
('308.580', '309.900')
('310.230', '310.950')
('311.010', '313.590')
('315.000', '316.500')
('316.950', '317.970')
('318.150', '319.710')
('321.030', '322.200')
('322.260', '323.670')
('325.080', '325.830')
('325.830', '326.640')
('326.850', '328.140')
('329.820', '330.810')
('330.810', '332.040')
('332.280', '333.720')
('335.970', '337.740')
('337.740', '339.240')
('339.300', '340.860')
('341.010', '342.630')
('342.900', '344.190')
('344.490', '345.540')
('347.070', '348.030')
('348.210', '349.230')
('349.650', '351.030')
('351.180', '356.130')
('356.220', '357.240')
('357.360', '358.020')
('358.200', '359.040')
('359.190', '360.900')
('360.900', '361.560')
('361.770', '363.300')
('363.780', '365.580')
('365.670', '367.800')
('368.100', '369.660')
('369.750', '372.510')
('372.990', '373.920')
('374.250', '375.360')
('376.500', '377.820')
('377.880', '379.440')
('379.680', '380.520')
('381.720', '383.100')
('383.670', '385.140')
('385.140', '386.190')
('386.220', '387.240')
('387.720', '389.490')
('389.670', '391.860')
('392.010', '393.690')
('394.980', '396.270')
('396.300', '397.290')
('397.290', '397.980')
('398.310', '399.360')
('401.070', '402.810')
('402.930', '404.130')
('404.550', '406.230')
('406.470', '407.700')
('408.240', '408.930')
('409.080', '410.340')
('411.390', '414.480')
('414.480', '415.260')
('415.620', '416.430')
('416.670', '417.900')
('418.740', '420.030')
('420.600', '421.380')
('426.030', '427.890')
('428.070', '430.200')
('431.040', '432.060')
('434.310', '434.910')
('435.840', '436.920')
('438.480', '439.350')
('439.650', '440.250')
('443.100', '444.300')
('446.550', '447.960')

