('0.000', '6.030')
('10.830', '16.290')
('16.740', '19.050')
('19.170', '20.760')
('22.170', '24.870')
('25.230', '26.940')
('27.420', '30.930')
('31.080', '34.530')
('35.790', '37.320')
('37.440', '41.250')
('41.700', '43.860')
('43.920', '48.390')
('48.750', '50.910')
('51.240', '52.830')
('53.130', '54.390')
('54.660', '58.980')
('59.400', '61.080')
('61.470', '64.500')
('64.590', '67.230')
('67.290', '69.390')
('69.480', '71.880')
('71.880', '73.110')
('73.110', '74.550')
('74.670', '75.930')
('76.500', '77.970')
('78.210', '79.770')
('80.130', '83.970')
('84.000', '86.190')
('86.400', '91.260')
('91.770', '95.610')
('95.970', '98.760')
('99.000', '100.740')
('100.800', '101.400')
('101.700', '104.940')
('105.120', '107.490')
('107.730', '109.440')
('109.590', '115.920')
('116.880', '123.360')
('124.080', '127.740')
('127.770', '132.660')
('132.960', '134.340')
('134.880', '136.230')
('136.230', '138.180')
('138.180', '139.350')
('139.560', '142.350')
('142.350', '144.120')
('144.330', '148.920')
('149.100', '150.300')
('150.360', '152.340')
('152.430', '154.500')
('154.500', '157.380')
('157.530', '159.480')
('159.480', '165.450')
('165.720', '168.180')
('168.660', '173.490')
('173.820', '175.590')
('175.590', '176.580')
('176.700', '178.530')
('178.530', '183.360')
('183.570', '186.300')
('186.540', '187.860')
('188.190', '190.830')
('190.830', '193.080')
('193.380', '197.280')
('197.520', '202.140')
('202.350', '206.490')
('206.790', '209.130')
('209.130', '211.260')
('211.740', '215.220')
('215.340', '217.110')
('217.260', '220.530')
('220.950', '225.480')
('226.050', '227.910')
('227.910', '231.630')
('231.690', '233.580')
('233.580', '235.560')
('235.710', '237.000')
('237.000', '238.320')
('238.320', '240.660')
('240.660', '242.160')
('242.160', '243.480')
('243.840', '248.220')
('248.670', '249.720')
('249.720', '250.470')
('250.680', '255.120')
('255.960', '259.020')
('259.080', '264.180')
('264.270', '265.830')
('266.130', '267.960')
('268.380', '273.270')
('273.270', '276.390')
('276.810', '279.840')
('279.840', '281.430')
('281.490', '284.790')
('284.910', '286.770')
('286.860', '287.790')
('288.180', '289.860')
('290.550', '293.220')
('293.910', '295.380')
('295.560', '300.240')
('300.540', '305.460')
('305.490', '307.980')
('308.640', '315.030')
('315.090', '315.930')
('316.020', '317.670')
('317.790', '319.590')
('320.220', '323.190')
('323.640', '324.720')
('325.080', '326.250')
('326.250', '327.660')
('328.620', '329.910')
('330.000', '333.240')
('333.570', '335.640')
('336.120', '339.000')
('339.300', '342.270')
('342.510', '345.420')
('345.480', '347.220')
('347.610', '349.710')
('349.740', '351.600')
('351.720', '352.830')
('353.670', '354.420')
('354.570', '358.260')
('358.260', '360.240')
('360.660', '362.250')
('362.400', '368.100')
('368.130', '369.930')
('370.560', '376.770')
('376.860', '379.440')
('381.060', '382.050')
('383.970', '385.680')
('386.820', '387.630')
('388.320', '390.810')
('391.110', '394.290')
('394.440', '396.600')
('396.600', '398.700')
('399.300', '399.990')
('400.290', '401.370')
('401.550', '402.840')
('403.410', '404.760')
('405.600', '407.820')
('408.270', '409.200')
('409.230', '409.890')
('411.210', '412.290')
('412.590', '413.610')
('414.000', '415.050')
('415.080', '416.460')
('418.260', '420.120')
('421.260', '422.340')
('422.430', '423.120')
('423.690', '425.550')
('426.000', '427.170')
('427.170', '427.770')
('427.860', '429.570')
('430.110', '433.140')
('434.220', '435.480')
('435.510', '436.920')
('437.550', '438.360')
('438.360', '439.140')
('439.530', '441.030')
('441.660', '443.280')
('443.670', '447.630')
('447.930', '448.530')
('448.560', '450.960')
('450.990', '451.800')
('452.280', '453.660')
('453.690', '455.250')
('455.250', '456.000')
('456.120', '457.710')
('458.610', '459.900')
('460.050', '462.270')
('463.170', '464.190')
('465.090', '466.020')
('466.290', '468.330')
('468.330', '471.180')
('471.330', '474.540')
('474.720', '477.630')
('478.680', '479.880')
('480.540', '481.560')
('481.740', '483.870')
('484.290', '486.630')
('487.200', '488.910')
('488.910', '489.540')
('491.310', '493.200')
('494.790', '496.260')
('497.610', '498.390')
('499.650', '506.010')
('506.490', '507.090')
('509.550', '510.540')
('511.050', '512.970')
('513.390', '514.050')
('514.260', '514.980')
('515.130', '516.660')
('516.840', '517.680')
('517.860', '519.480')
('519.630', '520.590')
('520.830', '523.680')
('523.710', '525.180')
('526.170', '527.970')
('528.240', '528.900')
('528.960', '529.650')
('529.770', '531.090')
('531.090', '532.860')
('533.610', '536.370')
('536.730', '540.000')
('541.530', '544.260')
('544.590', '545.790')
('545.790', '546.690')
('547.140', '554.670')
('555.780', '556.560')
('556.860', '558.000')
('558.570', '559.200')
('559.530', '560.790')
('561.660', '565.500')
('566.430', '567.720')
('568.050', '568.830')
('569.580', '570.480')
('571.260', '572.250')
('572.520', '574.020')
('575.550', '577.050')
('577.950', '580.020')
('580.500', '582.270')
('582.870', '587.010')
('587.970', '589.560')
('590.190', '590.880')
('591.180', '591.780')
('591.990', '593.850')
('594.390', '594.990')
('595.290', '596.220')
('596.640', '597.600')
('597.630', '598.530')
('598.590', '599.940')
('603.960', '606.330')
('606.780', '607.590')
('607.650', '608.610')
('609.090', '610.860')
('614.340', '615.240')
('615.870', '616.830')
('618.990', '621.540')
('622.080', '623.400')
('623.520', '624.480')
('624.480', '625.440')
('626.370', '627.060')
('627.480', '628.410')
('628.740', '631.590')
('632.220', '632.820')

