('0.000', '11.610')
('12.030', '12.630')
('16.560', '18.060')
('18.270', '21.510')
('22.650', '23.910')
('30.330', '34.530')
('34.920', '36.540')
('36.540', '37.290')
('37.290', '38.160')
('39.540', '43.890')
('45.300', '46.800')
('48.510', '50.640')
('50.700', '55.740')
('57.300', '59.340')
('59.580', '61.350')
('62.700', '65.610')
('65.700', '67.980')
('67.980', '68.790')
('69.780', '74.310')
('75.780', '81.210')
('81.480', '83.820')
('83.880', '88.290')
('88.560', '91.980')
('92.100', '95.370')
('96.000', '97.620')
('97.680', '100.260')
('100.440', '104.310')
('104.370', '105.780')
('105.840', '109.320')
('109.350', '115.320')
('115.740', '119.880')
('119.880', '121.200')
('121.290', '124.740')
('124.770', '125.940')
('126.060', '129.480')
('129.690', '131.970')
('133.470', '135.840')
('135.840', '139.140')
('139.260', '140.490')
('142.410', '145.560')
('147.270', '152.160')
('152.670', '154.080')
('156.090', '158.760')
('158.970', '160.440')
('161.100', '162.960')
('163.530', '165.060')
('165.540', '167.460')
('167.940', '170.160')
('170.700', '172.080')
('172.740', '176.220')
('176.940', '179.100')
('179.970', '184.500')
('185.970', '188.820')
('189.690', '194.340')
('194.940', '199.110')
('200.310', '203.730')
('204.000', '208.410')
('209.070', '213.450')
('213.870', '216.240')
('216.360', '218.310')
('219.150', '224.760')
('230.220', '233.970')
('234.630', '238.980')
('239.250', '244.260')
('244.770', '247.680')
('247.830', '251.460')
('252.090', '254.760')
('254.760', '257.070')
('257.610', '262.380')
('263.640', '267.180')
('267.750', '269.640')
('270.270', '272.880')
('273.390', '276.120')
('276.690', '280.410')
('281.850', '285.900')
('285.990', '286.890')
('286.890', '289.260')
('289.530', '292.110')
('292.110', '295.200')
('295.500', '302.370')
('302.640', '306.390')
('312.450', '316.170')
('316.590', '321.720')
('323.310', '326.640')
('327.360', '328.920')
('329.550', '332.310')
('335.130', '336.780')
('337.560', '340.260')
('340.260', '341.970')
('342.630', '345.240')
('350.790', '356.190')
('356.490', '358.800')
('359.460', '363.720')
('364.500', '365.670')
('365.670', '367.860')
('367.860', '368.640')

