('0.000', '3.060')
('8.550', '9.450')
('9.450', '10.080')
('10.530', '12.360')
('12.840', '13.470')
('14.160', '15.570')
('15.600', '16.920')
('17.310', '19.260')
('19.710', '21.870')
('22.410', '23.910')
('24.060', '29.310')
('29.790', '32.490')
('32.760', '33.450')
('33.960', '34.620')
('35.250', '37.080')
('37.230', '41.340')
('41.940', '44.490')
('44.490', '45.510')
('45.510', '48.210')
('51.210', '53.580')
('54.360', '56.700')
('56.970', '59.040')
('59.160', '61.620')
('61.980', '63.120')
('63.150', '65.010')
('65.070', '67.770')
('67.770', '69.630')
('69.660', '70.560')
('70.680', '72.060')
('77.430', '80.250')
('80.700', '82.500')
('82.710', '83.790')
('83.790', '85.350')
('85.470', '87.030')
('87.840', '89.190')
('89.280', '92.970')
('93.390', '96.510')
('96.870', '97.680')
('98.040', '107.610')
('107.610', '109.320')
('112.710', '116.310')
('121.890', '124.710')
('125.040', '128.190')
('130.770', '135.000')
('137.370', '141.180')
('143.820', '145.740')
('146.010', '147.180')
('147.420', '148.800')
('151.140', '152.850')
('154.980', '158.490')
('158.910', '160.200')
('160.620', '164.160')
('164.160', '168.480')
('169.320', '177.240')
('177.240', '178.680')
('178.680', '180.480')
('180.510', '182.550')
('183.540', '186.660')
('186.990', '190.920')
('191.010', '192.750')
('197.220', '200.250')
('201.660', '204.120')
('204.180', '206.940')
('207.240', '210.810')
('215.250', '219.570')
('219.720', '224.730')
('225.840', '229.380')
('229.530', '230.490')
('230.580', '232.020')
('232.200', '235.380')
('235.590', '236.430')
('236.430', '238.560')
('238.680', '241.350')
('241.470', '243.270')
('243.330', '246.000')
('246.030', '246.960')
('247.230', '247.830')
('248.160', '249.780')
('250.170', '251.850')
('251.850', '252.870')
('253.830', '255.600')
('255.780', '258.870')
('259.470', '261.570')
('261.990', '263.100')
('263.340', '265.680')
('266.400', '268.800')
('268.860', '271.620')
('271.620', '275.430')
('275.580', '276.180')
('276.390', '277.470')
('277.890', '279.300')
('279.390', '281.310')
('281.310', '284.160')

('284.160', '285.030')
