('0.630', '8.760')
('9.330', '13.380')
('13.380', '16.140')
('16.350', '17.880')
('18.060', '22.860')
('22.860', '29.490')
('29.640', '39.810')
('40.770', '46.890')
('47.280', '51.780')
('52.230', '57.120')
('57.750', '66.540')
('66.690', '71.100')
('71.850', '76.530')
('77.400', '80.940')
('81.720', '91.290')
('91.350', '95.520')
('95.640', '98.310')
('98.730', '103.230')
('104.520', '107.130')
('107.460', '110.640')
('110.640', '111.750')
('111.990', '114.330')
('114.330', '117.180')
('117.780', '119.400')
('119.910', '123.840')
('124.170', '125.370')
('125.550', '127.440')
('127.950', '132.390')
('132.390', '136.170')
('136.530', '138.000')
('138.210', '139.080')
('139.410', '140.400')
('140.400', '142.680')
('142.680', '146.670')
('146.730', '148.110')
('149.040', '150.060')
('150.720', '151.620')
('151.860', '153.120')
('153.960', '154.950')
('156.000', '157.950')
('158.100', '159.690')
('159.870', '163.140')
('163.200', '164.550')
('164.850', '165.600')
('166.200', '167.130')
('167.430', '170.760')
('171.330', '174.930')
('175.110', '178.440')
('178.890', '179.880')
('179.910', '184.110')
('184.110', '186.540')
('187.890', '189.720')
('190.440', '191.460')
('191.910', '192.570')
('192.810', '195.360')
('196.440', '199.770')
('200.220', '205.290')
('205.500', '208.110')
('208.380', '209.610')
('209.760', '210.660')
('210.870', '211.650')
('211.680', '212.280')
('212.310', '213.870')
('214.020', '214.890')
('215.130', '217.590')
('218.340', '220.560')
('220.890', '222.330')
('222.450', '225.300')
('225.570', '226.620')
('227.070', '228.570')
('229.230', '231.960')
('232.380', '234.660')
('236.490', '239.610')
('240.090', '241.050')
('241.800', '243.000')
('243.960', '247.470')
('247.770', '248.370')
('248.430', '250.920')
('251.400', '257.190')
('258.090', '261.300')
('262.410', '264.780')
('264.870', '266.160')
('266.340', '266.940')
('267.060', '269.100')
('270.540', '271.980')
('272.490', '273.270')
('273.990', '276.330')
('277.440', '279.690')
('280.260', '281.010')
('281.160', '283.890')
('284.220', '285.060')
('285.780', '287.760')
('288.240', '288.900')
('289.230', '291.330')
('292.020', '292.950')
('293.160', '293.940')
('294.330', '296.730')
('297.000', '299.220')
('299.400', '301.890')
('301.920', '302.700')
('303.030', '303.840')
('303.930', '305.040')
('305.040', '308.790')
('309.570', '312.510')
('313.290', '314.160')
('315.210', '316.050')
('316.350', '322.710')
('323.700', '325.530')
('325.680', '330.930')
('332.070', '332.880')
('332.940', '333.720')
('334.350', '336.780')
('336.810', '339.810')
('339.810', '342.270')
('342.930', '347.640')
('348.750', '349.650')
('349.650', '352.320')
('352.740', '356.580')
('356.640', '359.760')
('359.820', '364.020')
('364.170', '367.260')
('367.530', '368.430')
('368.700', '370.050')
('370.800', '371.520')
('373.200', '375.780')
('377.160', '378.840')
('379.290', '380.010')
('380.130', '381.060')
('381.120', '381.720')
('381.930', '383.640')
('383.640', '385.080')
('385.590', '386.610')
('386.820', '388.920')
('390.420', '391.590')
('391.620', '392.370')
('392.700', '393.630')
('394.200', '395.070')
('395.250', '397.260')
('397.260', '402.390')
('402.870', '404.760')
('404.880', '406.260')
('406.620', '407.340')
('407.610', '410.130')
('410.130', '411.330')
('411.330', '415.350')
('415.800', '418.500')
('418.560', '422.700')
('422.910', '424.110')
('424.140', '424.800')
('425.070', '426.390')
('426.660', '428.790')
('428.790', '433.410')
('433.650', '434.490')
('435.390', '440.370')
('440.580', '442.380')
('442.500', '443.520')
('444.960', '446.550')
('447.510', '449.850')
('450.120', '451.140')
('451.770', '453.150')

