('1.140', '2.070')
('2.400', '5.520')
('5.640', '8.190')
('8.310', '14.070')
('14.250', '18.210')
('18.300', '20.430')
('21.930', '26.250')
('26.430', '28.080')
('28.140', '34.800')
('36.120', '38.970')
('39.060', '41.490')
('41.700', '44.040')
('45.750', '51.540')
('51.960', '56.070')
('56.610', '57.210')
('57.990', '60.750')
('60.780', '63.120')
('63.120', '64.110')
('64.380', '66.570')
('66.570', '69.330')
('69.330', '70.020')
('71.670', '75.510')
('75.510', '76.230')
('76.350', '80.520')
('80.520', '81.120')
('81.330', '82.860')
('84.240', '88.470')
('88.650', '92.490')
('92.490', '93.660')
('93.870', '97.440')
('97.680', '98.880')
('99.090', '100.230')
('101.010', '101.940')
('101.970', '104.670')
('104.730', '107.040')
('107.040', '109.230')
('109.590', '111.480')
('111.480', '114.180')
('114.210', '115.650')
('115.800', '119.160')
('119.340', '120.120')
('120.120', '121.350')
('121.440', '122.910')
('124.140', '125.940')
('126.210', '129.750')
('129.930', '130.980')
('131.070', '133.200')
('133.260', '135.030')
('135.210', '136.680')
('137.400', '139.080')
('139.140', '140.250')
('140.250', '141.960')
('141.960', '142.860')
('144.390', '146.580')
('146.790', '149.220')
('150.120', '151.830')
('152.970', '153.990')
('154.080', '158.610')
('158.940', '162.750')
('162.750', '164.010')
('164.760', '165.360')
('165.690', '167.070')
('167.220', '168.510')
('168.510', '169.440')
('169.440', '170.220')
('170.370', '172.590')
('173.910', '176.370')
('176.520', '181.230')
('181.350', '184.470')
('184.830', '185.610')
('185.670', '187.740')
('189.390', '190.980')
('191.250', '194.820')
('195.060', '197.940')
('197.970', '200.520')
('200.520', '202.200')
('203.130', '203.760')
('204.300', '205.440')
('205.470', '206.850')
('207.690', '211.770')
('211.770', '213.630')
('213.690', '214.800')
('215.970', '217.980')
('218.220', '220.020')
('220.020', '221.100')
('221.430', '222.300')
('222.510', '225.840')
('226.890', '230.430')
('230.610', '231.420')
('231.750', '234.060')
('234.120', '235.890')
('236.190', '238.830')
('239.160', '239.760')
('241.110', '241.950')
('242.010', '244.470')
('244.710', '246.540')
('246.900', '247.890')
('248.280', '255.180')
('256.050', '257.280')
('257.310', '258.990')
('258.990', '260.250')
('260.400', '263.820')
('264.570', '266.550')
('267.270', '269.130')
('269.220', '271.290')
('271.860', '275.430')
('275.850', '276.840')
('277.380', '278.790')
('279.030', '280.770')
('282.390', '285.330')
('286.080', '287.820')
('287.970', '289.650')
('289.650', '293.100')
('294.090', '295.800')
('295.920', '298.020')
('298.740', '300.630')
('301.200', '303.450')
('304.350', '307.290')
('307.410', '310.320')
('310.530', '313.770')
('313.830', '315.600')
('317.490', '320.490')
('320.550', '321.450')
('321.450', '322.350')
('323.700', '328.740')
('329.400', '330.450')
('330.750', '331.980')
('332.280', '333.780')
('334.320', '335.820')

