('7.440', '8.760')
('9.150', '10.290')
('11.100', '12.000')
('12.000', '14.580')
('14.970', '16.110')
('16.590', '18.570')
('19.110', '20.310')
('20.430', '21.240')
('22.380', '24.990')
('25.680', '28.170')
('28.350', '29.100')
('29.250', '31.530')
('31.620', '34.740')
('35.130', '36.240')
('36.480', '37.230')
('37.230', '37.980')
('38.040', '38.850')
('39.600', '42.030')
('42.180', '43.500')
('44.220', '45.690')
('45.870', '46.680')
('46.770', '47.460')
('47.730', '49.080')
('49.680', '50.370')
('50.820', '52.350')
('52.560', '54.000')
('54.270', '55.650')
('56.040', '58.170')
('60.330', '63.300')
('63.720', '65.880')
('65.880', '69.420')
('69.510', '70.110')
('70.140', '71.220')
('71.520', '72.120')
('73.050', '74.400')
('75.090', '75.870')
('77.070', '78.510')
('78.510', '79.440')
('79.950', '82.650')
('82.680', '84.300')
('84.330', '85.320')
('85.680', '86.850')
('86.940', '87.540')
('87.840', '89.610')
('89.670', '91.800')
('92.400', '93.570')
('93.630', '94.710')
('94.800', '98.640')
('98.670', '99.510')
('99.510', '100.410')
('101.100', '102.240')
('102.240', '102.990')
('103.080', '104.820')
('105.780', '108.600')
('108.900', '110.280')
('110.730', '112.980')
('113.460', '114.540')
('115.470', '118.770')
('118.770', '120.900')
('121.320', '122.460')
('122.970', '123.930')
('124.140', '124.980')
('125.430', '126.540')
('126.810', '127.410')
('128.790', '129.480')
('129.480', '130.320')
('131.250', '132.690')
('133.500', '134.550')
('135.390', '136.110')
('136.950', '137.640')
('138.840', '139.980')
('140.550', '141.750')
('141.930', '143.790')
('145.230', '146.280')
('147.870', '149.280')
('149.340', '150.240')
('150.300', '151.560')
('152.460', '153.510')
('153.930', '155.070')
('155.220', '155.910')
('155.910', '157.080')
('157.140', '158.160')
('158.550', '160.740')
('161.790', '162.450')
('162.810', '164.520')
('165.060', '168.660')
('169.920', '171.090')
('171.300', '173.610')
('174.270', '175.050')
('175.320', '175.920')
('176.670', '177.420')
('177.510', '178.440')
('180.270', '181.650')
('182.670', '183.420')
('184.020', '185.370')
('185.700', '186.450')
('186.810', '187.980')
('188.130', '188.910')
('189.660', '190.860')
('191.430', '192.840')
('195.540', '196.380')
('196.980', '197.610')
('198.690', '200.670')
('201.810', '202.860')
('203.640', '204.300')
('204.810', '205.800')
