('0.000', '19.380')
('19.710', '23.760')
('23.850', '28.860')
('29.100', '33.330')
('33.900', '39.060')
('39.240', '41.820')
('41.850', '42.480')
('42.480', '45.150')
('45.210', '49.080')
('49.200', '52.620')
('52.860', '55.530')
('55.680', '56.400')
('56.520', '58.110')
('58.110', '59.310')
('60.510', '61.980')
('62.640', '63.780')
('63.900', '66.870')
('67.020', '68.040')
('69.420', '72.900')
('73.020', '77.130')
('77.340', '80.340')
('80.520', '85.290')
('85.590', '86.190')
('86.190', '89.790')
('90.480', '91.260')
('91.500', '93.060')
('93.630', '96.450')
('96.660', '99.990')
('99.990', '101.130')
('101.190', '107.970')
('108.510', '110.640')
('110.790', '114.900')
('115.410', '116.040')
('116.880', '119.640')
('122.490', '125.640')
('126.240', '128.070')
('131.100', '132.840')
('132.960', '133.680')
('133.920', '137.250')
('137.490', '138.990')
('141.540', '142.410')
('142.500', '143.310')
('146.250', '148.020')
('148.500', '151.050')
('151.290', '154.920')
('154.920', '157.050')
('157.470', '158.070')
('158.070', '158.790')
('158.790', '160.530')
('162.120', '163.770')
('163.860', '164.760')
('164.760', '168.180')
('168.540', '169.140')
('169.140', '172.980')
('174.450', '175.230')
('175.350', '177.990')
('178.140', '179.730')
('179.730', '180.660')
('181.440', '182.040')
('182.220', '183.150')
('183.690', '185.880')
('185.880', '186.810')
('186.810', '189.900')
('190.020', '191.130')
('191.160', '194.160')
('194.250', '195.450')
('195.810', '197.610')
('197.670', '200.610')
('200.610', '204.210')
('204.570', '207.540')
('210.090', '213.060')
('214.500', '215.100')
('215.190', '218.580')
('220.710', '221.400')
('222.330', '223.950')
('224.610', '225.990')
('226.860', '228.180')
('228.240', '229.770')
('231.420', '232.410')
('234.870', '236.250')
('236.940', '238.980')
('243.420', '244.710')
('244.830', '245.970')
('247.710', '250.770')
('252.180', '257.070')
('257.070', '258.480')
('258.630', '261.810')
('261.810', '264.750')
('265.950', '266.670')
('267.240', '270.630')
('270.720', '272.100')
('273.150', '276.870')
('277.920', '278.850')
('280.080', '281.010')
('281.640', '282.660')
('284.640', '286.380')
('289.350', '289.950')
('290.310', '291.000')
('291.330', '292.110')
('293.640', '296.340')
('299.400', '300.540')
('300.540', '301.140')
('305.040', '305.790')
('305.790', '309.570')
('314.070', '316.800')
('317.370', '318.120')
('318.240', '319.980')
('320.550', '323.730')
('324.870', '330.270')
('330.420', '331.890')
('331.890', '336.330')
('336.870', '338.610')
('338.850', '339.450')
('339.750', '343.710')
('345.150', '346.620')
('347.730', '348.330')
('348.660', '352.410')
('353.040', '356.850')
('357.360', '359.250')
('359.880', '364.860')
('364.860', '367.080')
('367.080', '371.160')
('371.700', '376.410')
('377.280', '380.700')
('380.910', '384.300')
('384.750', '385.350')
('385.350', '387.120')
('387.180', '388.950')
('389.070', '389.670')
('389.940', '392.550')
('392.880', '395.100')
('395.400', '397.500')
('397.650', '400.620')
('400.620', '402.300')
('402.420', '405.330')
('405.330', '408.030')
('408.180', '410.310')
('410.370', '412.410')
('413.040', '414.420')
('414.990', '415.770')
('415.770', '420.450')
('420.780', '426.150')
('426.180', '428.400')
('428.640', '431.370')
('431.460', '433.440')
('433.830', '435.600')
('436.500', '440.610')
('441.180', '444.270')
('445.170', '446.670')
('446.670', '449.400')
('449.820', '451.320')
('452.490', '453.090')
('453.390', '454.440')

