('0.000', '6.030')
('10.560', '12.750')
('12.810', '15.780')
('15.840', '18.150')
('18.210', '20.670')
('20.730', '24.930')
('24.930', '27.210')
('27.210', '28.530')
('28.710', '31.440')
('31.650', '33.750')
('33.780', '37.350')
('37.530', '41.940')
('42.000', '43.320')
('43.320', '48.090')
('48.090', '49.620')
('49.710', '52.080')
('52.260', '57.750')
('57.750', '60.270')
('60.270', '61.350')
('61.620', '65.010')
('65.010', '66.240')
('66.240', '68.220')
('68.220', '70.650')
('70.650', '71.910')
('72.450', '74.820')
('75.060', '77.460')
('77.640', '78.720')
('78.810', '82.590')
('83.040', '86.190')
('86.310', '90.390')
('90.420', '93.780')
('93.780', '95.550')
('95.550', '96.780')
('96.780', '101.220')
('101.340', '102.840')
('102.840', '104.310')
('104.310', '109.050')
('109.200', '112.500')
('112.680', '115.230')
('115.230', '117.030')
('117.030', '120.330')
('120.390', '122.130')
('122.220', '127.470')
('127.500', '130.980')
('131.190', '132.150')
('132.150', '133.200')
('133.200', '134.640')
('134.640', '136.680')
('136.680', '142.650')
('142.650', '148.080')
('148.080', '150.990')
('150.990', '153.270')
('153.270', '155.760')
('155.790', '158.880')
('158.910', '162.330')
('162.510', '163.500')
('163.500', '165.870')
('165.960', '171.450')
('171.540', '176.520')
('176.730', '179.160')
('179.160', '181.290')
('181.470', '184.980')
('184.980', '188.610')
('188.610', '191.280')
('191.280', '197.670')
('197.730', '200.850')
('201.270', '203.160')
('203.280', '208.500')
('208.830', '212.820')
('212.880', '213.840')
('214.140', '216.330')
('216.360', '217.530')
('217.800', '221.340')
('221.340', '224.640')
('224.640', '225.720')
('225.720', '230.040')
('230.190', '231.030')
('231.180', '232.920')
('232.950', '237.660')
('237.870', '239.310')
('239.310', '241.410')
('241.440', '242.790')
('242.820', '247.440')
('247.440', '248.790')
('248.940', '258.660')
('258.810', '264.750')
('264.750', '267.990')
('268.230', '269.520')
('269.640', '271.650')
('271.680', '273.420')
('273.420', '276.150')
('276.180', '277.920')
('278.250', '281.970')
('281.970', '283.770')
('283.770', '285.180')
('285.690', '291.120')
('291.630', '299.010')
('299.250', '301.590')
('301.650', '305.280')
('305.520', '306.900')
('307.170', '313.230')
('313.410', '315.090')
('315.510', '320.760')
('320.850', '321.540')
('321.750', '322.710')
('323.010', '330.780')
('330.780', '336.690')
('336.690', '337.770')
('337.830', '339.090')
('339.090', '341.220')
('341.220', '344.910')
('345.150', '347.520')
('347.580', '348.360')
('348.390', '350.100')
('350.100', '351.120')
('351.390', '353.310')
('353.370', '357.000')
('357.030', '363.510')
('363.510', '367.800')
('368.280', '369.270')
('369.390', '370.410')
('370.410', '374.880')
('375.000', '380.070')
('380.100', '381.540')
('381.570', '382.770')
('382.950', '388.230')
('388.230', '390.120')
('390.120', '392.880')
('392.880', '395.160')
('395.670', '396.630')
('396.960', '399.480')
('399.480', '400.620')
('400.620', '402.600')
('402.960', '407.610')
('407.790', '408.960')
('409.110', '411.180')
('411.360', '413.460')
('413.460', '416.580')
('416.670', '419.790')
('420.330', '422.520')
('423.180', '423.900')
('423.930', '426.390')
('426.420', '430.050')
('430.260', '431.820')
('431.820', '432.810')
('433.500', '435.150')
('435.150', '436.260')
('436.380', '440.520')
('440.670', '443.850')
('444.060', '449.010')
('449.040', '450.930')
('451.230', '454.080')
('454.080', '457.950')
('457.950', '459.420')
('459.690', '460.740')
('460.860', '463.980')
('464.100', '467.220')
('467.250', '468.720')
('468.720', '472.350')
('472.350', '474.480')
('474.480', '477.960')
('477.960', '479.310')
('479.310', '486.000')
('486.120', '487.140')
('487.410', '489.570')
('489.570', '490.710')
('490.710', '496.800')
('496.800', '502.260')
('502.350', '503.460')
('503.880', '510.750')
('510.750', '513.210')
('513.210', '517.530')
('517.620', '522.840')
('523.050', '527.160')
('527.250', '528.420')
('528.420', '530.010')
('530.010', '537.120')
('537.270', '540.540')
('540.780', '542.340')
('542.610', '544.800')
('544.830', '545.610')
('546.000', '548.730')
('548.730', '550.500')
('550.860', '552.420')
('552.420', '554.580')
('554.910', '557.070')
('557.160', '560.370')
('561.030', '565.380')
('565.800', '566.640')
('566.700', '568.950')
('569.130', '573.990')
('574.200', '575.820')
('575.820', '577.650')
('577.710', '582.330')
('582.630', '585.690')
('585.900', '586.680')
('586.770', '590.700')
('590.700', '591.360')
('591.750', '596.700')
('596.700', '597.990')
('598.140', '600.780')
('601.140', '602.310')
('602.550', '605.850')
('605.970', '607.830')
('607.830', '612.930')
('613.200', '614.820')
('614.940', '617.970')
('618.570', '621.180')
('621.390', '622.260')
('622.380', '623.550')
('623.550', '625.650')
('625.770', '627.150')
('627.330', '629.010')
('629.250', '632.010')
('632.610', '634.830')
('634.920', '635.910')
('636.060', '637.440')
('637.530', '639.810')
('639.810', '641.280')
('641.280', '642.750')
('642.780', '643.980')
('644.550', '645.300')
('645.480', '648.330')
('648.510', '653.100')
('653.220', '653.910')
('653.970', '657.990')
('657.990', '659.850')
('660.240', '663.630')
('664.140', '665.400')
('665.760', '670.470')
('670.500', '672.330')
('672.750', '673.800')
('674.250', '676.320')
('676.320', '678.210')
('678.300', '679.560')
('679.680', '684.900')
('684.900', '687.600')
('687.600', '689.280')
('689.280', '690.990')
('691.140', '692.070')
('692.070', '697.680')
('697.800', '700.230')
('700.260', '701.370')
('701.460', '702.900')
('702.900', '704.820')
('704.880', '708.720')
('708.900', '709.860')
('710.370', '711.750')
('711.840', '714.750')
('714.960', '716.760')
('716.760', '719.790')
('719.970', '722.400')
('722.400', '726.990')
('727.110', '729.000')
('729.450', '733.110')
('733.320', '734.490')
('734.850', '737.100')
('737.580', '739.590')
('739.590', '740.970')
('741.090', '742.860')
('743.040', '745.950')
('746.190', '749.070')
('749.160', '750.690')
('750.990', '751.590')
('751.800', '754.410')
('754.530', '757.170')
('757.170', '759.600')
('759.720', '765.030')
('766.410', '769.830')
('769.860', '771.930')
('772.950', '777.030')
('777.900', '779.220')

