('0.450', '1.380')
('1.590', '7.410')
('8.070', '11.280')
('11.460', '18.570')
('19.440', '23.160')
('23.400', '29.010')
('29.130', '29.850')
('30.150', '33.120')
('34.020', '39.150')
('39.150', '40.260')
('42.420', '47.520')
('47.520', '48.420')
('48.840', '52.560')
('52.560', '54.690')
('54.780', '57.480')
('57.720', '58.740')
('58.980', '61.080')
('61.080', '63.780')
('64.560', '65.610')
('65.610', '68.400')
('68.670', '70.320')
('70.680', '74.580')
('74.640', '77.430')
('78.030', '81.270')
('81.330', '83.760')
('83.760', '85.740')
('86.070', '89.310')
('89.700', '94.920')
('94.920', '95.610')
('95.910', '96.870')
('96.900', '99.480')
('99.480', '101.580')
('101.670', '105.090')
('105.090', '106.380')
('106.560', '108.720')
('109.410', '110.220')
('110.220', '111.420')
('112.410', '115.350')
('115.350', '116.280')
('116.340', '118.020')
('118.170', '120.630')
('121.260', '123.600')
('125.130', '128.070')
('128.190', '131.370')
('131.760', '135.120')
('135.510', '140.490')
('141.660', '142.680')
('142.680', '143.730')
('144.510', '145.680')
('145.980', '147.450')
('147.450', '149.730')
('149.790', '150.960')
('152.220', '153.540')
('153.750', '155.280')
('155.730', '156.660')
('157.380', '158.310')
('158.340', '161.670')
('161.790', '162.390')
('162.870', '163.770')
('163.800', '165.510')
('167.460', '168.810')
('168.870', '169.470')
('169.500', '170.550')
('170.850', '171.960')
('171.960', '173.520')
('173.550', '176.580')
('176.730', '179.730')
('180.210', '182.880')
('183.030', '185.160')
('185.190', '186.240')
('186.450', '190.050')
('190.440', '191.430')
('192.090', '195.300')
('195.630', '196.230')
('197.430', '198.570')
('198.840', '202.320')
('202.440', '204.270')
('205.740', '208.470')
('210.090', '211.230')
('211.350', '213.630')
('213.780', '216.030')
('216.030', '216.900')
('217.080', '218.700')
('219.600', '220.200')
('220.710', '222.630')
('222.810', '223.890')
('224.040', '225.210')
('225.330', '228.270')
('228.270', '229.260')
('229.710', '230.640')
('230.670', '232.860')
('232.860', '233.790')
('234.390', '239.010')
('239.580', '241.140')
('241.140', '244.290')
('244.920', '246.870')
('247.260', '248.310')
('248.610', '250.710')
('250.710', '252.540')
('252.840', '254.310')
('255.180', '256.920')
('257.010', '258.810')
('259.260', '260.130')
('260.880', '262.560')
('262.950', '263.880')
('263.880', '267.630')
('268.410', '271.410')
('271.590', '272.220')
('272.220', '273.000')
('273.240', '274.740')

