('0.270', '7.260')
('8.400', '10.020')
('10.020', '13.500')
('13.650', '17.250')
('17.310', '27.030')
('27.210', '39.300')
('39.300', '43.710')
('43.710', '44.460')
('44.580', '52.680')
('52.830', '56.100')
('56.100', '59.760')
('59.820', '62.070')
('62.070', '63.510')
('63.750', '67.950')
('68.070', '71.520')
('71.580', '76.800')
('76.890', '81.540')
('81.540', '83.610')
('83.910', '88.380')
('88.380', '92.790')
('93.180', '96.360')
('96.540', '103.350')
('103.350', '107.250')
('107.250', '109.830')
('110.040', '113.130')
('113.130', '117.420')
('117.540', '118.980')

('119.310', '120.450')
