('0.000', '12.930')
('13.050', '14.940')
('14.940', '20.160')
('20.460', '26.070')
('26.190', '28.200')
('28.200', '28.830')
('29.160', '31.560')
('31.560', '32.970')
('32.970', '35.880')
('36.090', '39.060')
('39.090', '43.530')
('43.800', '47.280')
('47.280', '48.420')
('48.900', '55.410')
('55.410', '59.580')
('59.610', '62.070')
('62.190', '65.370')
('65.790', '66.450')
('66.630', '67.620')
('67.800', '69.480')
('69.810', '71.940')
('72.150', '73.590')
('73.740', '75.570')
('75.870', '80.220')
('80.430', '83.310')
('83.310', '84.510')
('84.630', '85.590')
('86.700', '88.560')
('88.950', '90.150')
('90.480', '91.890')
('91.950', '95.100')
('95.700', '97.860')
('98.190', '98.880')
('98.880', '100.770')
('101.040', '103.380')
('103.560', '104.700')
('105.570', '107.430')
('108.030', '109.050')
('109.050', '111.930')
('112.140', '112.920')
('113.370', '115.950')
('116.490', '118.110')
('118.260', '121.770')
('122.100', '123.150')
('123.240', '124.680')
('125.160', '127.290')
('127.290', '128.730')
('128.760', '130.140')
('130.500', '131.640')
('132.060', '133.020')
('133.110', '134.670')
('135.060', '137.910')
('137.910', '139.680')
('139.680', '140.550')
('141.180', '142.950')
('143.070', '145.260')
('145.260', '146.790')
('146.820', '149.010')
('149.040', '149.910')
('150.030', '151.380')
('151.590', '153.090')
('153.270', '154.530')
('155.490', '158.490')
('158.670', '159.300')
('159.360', '161.490')
('161.640', '163.080')
('163.410', '165.750')
('165.810', '167.460')
('167.490', '168.450')
('168.780', '169.890')
('170.190', '170.910')
('170.940', '172.680')
('173.460', '175.350')
('175.560', '177.960')
('178.680', '179.280')
('179.430', '180.030')
('180.300', '181.080')
('181.260', '183.300')
('183.360', '185.130')
('185.430', '187.920')
('188.130', '189.930')
('190.800', '192.300')
('192.450', '193.830')
('194.160', '197.220')
('197.790', '199.260')
('199.350', '200.430')
('202.230', '206.130')
('206.430', '207.120')
('207.840', '209.520')
('210.180', '211.080')
('211.320', '212.160')
('212.280', '213.330')
('213.330', '214.200')
('214.320', '217.830')
('217.980', '218.640')
('219.840', '221.010')
('221.490', '223.020')
('223.080', '224.490')
('224.580', '225.330')
('225.420', '226.230')
('226.350', '227.190')
('227.670', '229.260')
('229.410', '230.280')
('230.850', '231.660')
('232.260', '233.160')
('233.430', '235.590')
('235.860', '237.270')
('237.270', '238.020')
('238.260', '239.880')
('240.330', '242.310')
('242.940', '244.020')
('244.230', '245.520')
('245.790', '247.320')
('247.440', '250.170')
('250.530', '251.400')
('252.210', '253.470')
('253.470', '254.790')
('254.790', '255.510')
('255.780', '256.680')
('257.010', '258.390')
('259.320', '260.520')
('260.850', '262.710')
('263.340', '265.800')
('267.090', '267.810')
('268.140', '270.690')
('271.620', '272.610')
('272.760', '273.810')
('274.110', '276.810')
('277.800', '278.520')
('278.580', '280.770')
('281.070', '282.540')
('282.960', '283.980')
('284.100', '287.340')
('287.610', '288.300')
('288.540', '290.910')
('290.910', '291.630')
('292.560', '294.000')
('294.240', '295.200')
('295.710', '297.480')
('297.870', '298.980')
('300.210', '302.070')
('302.070', '302.670')
('303.090', '305.460')
('307.530', '308.370')
('308.520', '309.630')
('309.750', '311.670')
('311.790', '313.530')
('313.860', '315.000')
('315.150', '315.930')
('316.410', '317.340')
('317.610', '318.300')
('319.110', '320.880')
('321.150', '322.290')
('322.770', '324.420')
('325.080', '326.430')
('326.550', '328.680')
('329.160', '330.750')
('330.990', '332.580')
('332.850', '333.660')
('334.020', '335.790')
('336.840', '338.100')
('338.400', '339.180')
('339.900', '341.310')
('341.640', '343.530')
('343.680', '349.020')
('349.080', '350.940')
('351.420', '353.040')
('353.070', '354.270')
('354.330', '355.410')
('355.680', '357.600')
('357.900', '359.520')
('359.730', '360.390')
('360.390', '362.340')
('363.150', '364.050')
('364.050', '365.010')
('365.280', '367.320')
('368.010', '369.240')
('369.660', '371.220')
('371.220', '373.050')
('373.560', '374.520')
('374.520', '375.120')
('375.450', '376.740')
('378.000', '379.500')
('379.560', '380.760')
('380.760', '381.780')
('381.990', '383.610')
('384.090', '385.260')
('385.260', '385.860')
('386.250', '387.390')
('387.570', '389.190')
('389.430', '390.450')
('390.570', '391.830')
('392.340', '393.000')
('393.150', '394.950')
('395.310', '396.930')
('397.620', '398.550')
('399.060', '400.200')
('401.190', '402.210')
('402.360', '403.830')
('405.690', '406.770')
('406.770', '407.730')
('408.000', '409.320')
('409.710', '412.860')
('413.160', '414.600')
('415.260', '417.480')
('417.870', '419.580')
('420.000', '420.930')
('421.320', '423.480')
('423.480', '424.410')
('424.410', '425.670')
('425.940', '426.570')
('427.740', '428.610')
('430.200', '430.800')
('431.160', '432.450')
('432.630', '434.010')
('434.700', '435.570')
('435.810', '438.540')
('438.750', '441.180')
('441.360', '442.200')
('442.980', '444.510')
('444.510', '445.620')
('445.950', '447.060')
('447.330', '448.200')
('449.100', '452.730')
('453.270', '455.100')
('456.240', '457.350')
('457.620', '458.220')
('459.360', '460.440')
('461.790', '462.570')
('463.530', '465.330')
('465.360', '466.230')
('466.410', '468.090')
('469.020', '471.180')
('472.410', '473.370')
('473.610', '474.780')
('476.190', '476.850')
('478.200', '479.190')
('479.820', '481.110')
('481.110', '481.740')
('482.280', '483.300')
('484.410', '485.100')
('485.280', '486.150')
('486.630', '487.890')
('488.520', '489.600')
('490.020', '490.620')
('490.920', '491.610')
('492.120', '493.020')
('493.560', '495.690')
('496.650', '498.630')
('498.990', '501.570')
('501.810', '503.520')
('503.550', '505.590')
('506.040', '506.820')
('507.330', '508.650')
('509.640', '510.750')
('510.750', '512.820')
('513.030', '513.960')
('513.960', '518.040')
('518.220', '520.200')
('520.530', '523.860')
('524.010', '525.450')
('525.450', '528.030')
('528.570', '530.760')
('531.900', '533.400')
('534.150', '534.900')
('535.260', '537.150')
('537.840', '538.830')
('539.430', '541.470')
('541.860', '542.760')
('544.200', '546.930')
('547.800', '549.870')
('550.110', '551.160')
('551.370', '551.970')
('552.180', '553.170')
('553.770', '554.700')
('554.700', '555.330')
('555.480', '556.320')
('557.280', '559.290')
('561.390', '562.830')
('562.860', '565.830')
('566.370', '567.150')
('567.690', '568.380')
('568.830', '570.180')
('570.240', '571.800')
('572.130', '573.840')
('574.170', '575.430')
('575.700', '576.840')
('576.990', '577.590')
('578.220', '579.090')
('579.450', '580.920')
('580.920', '581.520')
('581.880', '582.600')
('582.960', '585.720')
('585.900', '586.680')
('586.980', '587.790')
('587.940', '589.500')
('590.550', '591.180')
('591.540', '594.060')
('595.500', '597.510')
('598.830', '600.120')
('600.600', '601.920')
('602.490', '604.650')
('605.040', '606.090')
('606.450', '607.350')
('608.130', '610.110')
('610.170', '611.130')
('611.130', '611.730')
('612.420', '613.980')
('614.550', '615.570')
('615.750', '616.350')
('616.590', '618.030')
('618.360', '620.640')
('620.760', '624.270')
('624.420', '626.670')
('627.420', '629.040')
('629.580', '630.840')
('630.900', '632.700')
('632.970', '634.140')
('634.350', '635.460')
('635.460', '636.540')
('636.600', '638.340')
('638.430', '640.740')
('642.390', '643.980')
('645.510', '646.170')
('646.470', '647.850')
('648.060', '649.740')
('650.400', '652.350')
('652.830', '653.670')
('653.850', '654.690')
('654.690', '655.920')
('656.190', '656.790')
('657.330', '659.340')
